Date,Pollster,Daniel.Scioli,Mauricio.Macri,DK,N,error,,
11/13/15,Giacobbe & Asociados,42.1,49,4.7,1500,2.58,,
11/13/15,Gonzalez y Valladares,41.1,51.2,4.5,1000,2.89,telefone,probailistica estratificada proporcional com base no peso de cada seção eleitoral e comportamento declarado de voto nas eleições gerais de 25 de outubro
11/13/15,Management & Fit,43.7,52,,2400,,domiciliarias y telef—nicas,
11/12/15,FUNDITRA,41.79,43.56,9.69,1000,3.5,,
11/7/15,Hugo Haime & Asociados,40.4,44.2,11.1,1600,,presencial,
11/8/15,Management & Fit,43.6,51.8,,,,,
11/1/15,Hugo Haime & Asociados,39.4,46.7,10.1,,,,
11/8/15,Gonzalez y Valladares,40.3,51.6,4.3,1000,,,
11/8/15,Ipsos,39.9,51.2,5.4,,,,
11/11/15,Polliarquia,40.2,48.7,6.4,,,,
11/8/15,UNSAM,47.04,40.24,,10022,,,
11/1/15,Polldata,39.7,50.3,10,1300,,Interactive Voice Response,
10/29/15,Elypsis,37.2,47.8,15,,,,
10/25/15,Gonzalez y Valladares,45.5,45.6,8.9,,,,
10/15/15,IPSOS,48.503,42.497,9,,,,
10/10/15,Raul Aragon & Asociados,48.1,41.5,10.4,,,,
10/4/15,Elypsis,47.95,43.04,9,,,,
10/3/15,Polldata,42.2,40.3,17.5,,,Interactive Voice Response,
9/21/15,IPSOS,47.1,42.3,10.6,,,,
9/20/15,Elypsis,49.686,41.314,9,,,,
9/6/15,Elypsis,45.95,45.04,9,,,,
9/5/15,Gonzalez y Valladares,46.59,44.408,9,,,,
7/10/15,Hugo Haime & Asociados,51,41,8,,,,
6/15/15,Hugo Haime & Asociados,49,43,8,,,,
5/15/15,Hugo Haime & Asociados,48,42,10,,,,
4/15/15,Hugo Haime & Asociados,46,42,12,,,,
3/15/15,Hugo Haime & Asociados,47,42,11,,,,
2/15/15,Hugo Haime & Asociados,46,41,13,,,,
1/15/15,Hugo Haime & Asociados,45,38,17,,,,
