biden_approval,vote2016,vote2020,gss_trust,gss_bible,gss_spanking,social_none,social_fb,social_twitter,social_instagram,social_tiktok,social_pinterest,gender,race,education,income,urban_rural,state,age,region,voted2016,voted2020,race_white,college,noncollege_white
Neither approve nor disapprove,Hillary Clinton,Did not vote,Can't be too careful,I don’t know,Disagree,False,False,True,True,True,True,Female,Hispanic or Latino,"Some college, no degree","Under $15,000",Urban,Florida,18-24,Southeast,True,False,False,True,False
Strongly disapprove,Hillary Clinton,Donald Trump,Can't be too careful,Book of fables,Somewhat agree,False,False,True,True,False,True,Female,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Urban,Pennsylvania,45-64,Midwest,True,True,True,True,False
Somewhat disapprove,Other,Donald Trump,Can't be too careful,Inspired word,Disagree,False,True,True,True,False,True,Female,Hispanic or Latino,Graduated from college,"Between $15,000 and $49,999",Suburban,California,25-44,Pacific,True,True,False,True,False
Somewhat approve,Did not vote,Did not vote,Can trust,Book of fables,Somewhat disagree,False,True,False,True,False,False,Male,White or Caucasian,Graduated from college,"Between $75,000 and $99,999",Urban,Colorado,25-44,Southwest,False,False,True,True,False
Somewhat approve,Other,Joe Biden,Can't be too careful,Inspired word,Disagree,False,True,True,False,False,True,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Rural,North Carolina,25-44,Southeast,True,True,True,True,False
Approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,False,True,False,False,False,Male,Hispanic or Latino,"Some college, no degree","Under $15,000",Rural,California,25-44,Pacific,False,True,False,True,False
Strongly approve,Did not vote,Did not vote,Can't be too careful,Word of God,Disagree,False,True,False,False,False,False,Female,Black or African American,Graduated from high school,"Under $15,000",Rural,Alabama,25-44,South,False,False,False,False,False
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Agree,False,True,True,True,False,True,Male,White or Caucasian,Graduated from college,"Between $100,000 and $150,000",Urban,New York,25-44,Northeast,True,True,True,True,False
Neither approve nor disapprove,Hillary Clinton,Donald Trump,Can't be too careful,I don’t know,Somewhat agree,False,True,True,False,True,False,Female,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,New Jersey,18-24,Northeast,True,True,True,True,False
Disapprove,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,True,Female,Asian or Asian American,"Some college, no degree","Between $15,000 and $49,999",Suburban,Minnesota,18-24,Midwest,False,True,False,True,False
