house	begin	end	size	PSUV	MUD	Others	Undecided
IVAD	29-09-2014		800	0.28	0.45		0.27
Consultores	21-09-2014	02-10-2014	1000	0.33	0.48		
Datanálisis	01-01-2014		1293	0.21	0.39	0.13	0.18
Datanálisis	01-11-2014		1300	0.19	0.40	0.16	0.18
VARIANZAS	08-12-2014	23-12-2014	1200	0.30	0.44	0.05	0.21
Datanálisis	01-01-2015		1000	0.17	0.46	0.14	0.17
Keller y Asociados	01-01-2015		1200	0.44	0.56		
Meganalisis	25-01-2015			0.21	0.29		0.27
Datanálisis	01-02-2015			0.23	0.60	0.18	
ICS	10-02-2015	20-02-2015	1300	0.44	0.32		0.25
DatinCorp	08-02-2015		1200	0.24	0.48		0.17
Datanálisis	01-03-2015		1000	0.19	0.43	0.09	0.21
Keller y Asociados	26-02-2015	26-03-2015	1200	0.31	0.42	0.11	0.16
Datanálisis	01-04-2015		1000	0.25	0.46	0.07	0.17
VARIANZAS	19-03-2015	02-04-2015	1200	0.34	0.46	0.08	0.13
Delphos	10-04-2015	25-04-2015	1200	0.16	0.39		0.46
Hercón	01-05-2015	15-05-2015	1200	0.28	0.52		0.20
DatinCorp	01-05-2015		1200	0.18	0.48	0.21	0.14
Datanálisis	18-05-2015	30-05-2015	1000	0.21	0.40	0.10	0.29
Meganalisis	30-05-2015			0.20	0.18		0.29
IVAD	28-05-2015	11-06-2015	1200	0.21	0.33	0.28	0.19
Datanálisis	01-06-2015			0.27	0.61	0.12	
Hercón	20-06-2015	27-06-2015	2000	0.28	0.61		0.11
ICS	06-07-2015	27-07-2015	8000	0.45	0.38		0.17
Datanálisis	10-07-2015	23-07-2015	999	0.19	0.42	0.12	0.18
DatinCorp	15-07-2015		1197	0.20	0.42	0.14	0.23
Meganalisis	01-08-2015			0.16	0.42		0.13
IVAD	08-08-2015	16-08-2015	1200	0.19	0.58		0.23
Keller y Asociados	19-08-2015	05-09-2015	1200	0.27	0.53	0.11	0.09
Datanálisis	01-09-2015			0.21	0.44	0.35	
DatinCorp	01-09-2015			0.20	0.53		
Delphos	01-09-2015			0.20	0.50	0.20	0.10
Meganalisis	01-09-2015			0.27	0.38		0.36
Venebarómetro/IVAD	05-09-2015	15-09-2015	1200	0.17	0.38	0.28	0.17
Hercón	13-09-2015	16-09-2015	1000	0.22	0.60	0.13	0.05
Consultores	04-09-2015	20-09-2015		0.36	0.58	0.04	
Hercón	05-09-2015	20-09-2015	1200	0.30	0.62		0.07
Consultores	01-10-2015			0.34	0.55		
Datanálisis	01-10-2015			0.28	0.63		
DatinCorp	01-10-2015			0.20	0.47		
DatinCorp	01-10-2015			0.39	0.56		
IVAD	01-10-2015			0.22	0.42		
Venebarómetro	11-10-2015			0.20	0.44		0.27
Keller y Asociados	05-11-2015	15-11-2015	1200	0.25	0.59	0.11	0.06
IVAD	10-11-2015	20-11-2015	1200	0.28	0.43	0.11	0.18
Venebarómetro	08-11-2015	22-11-2015	1200	0.28	0.43	0.11	0.19
Hercón	10-11-2015	25-11-2015	1200	0.32	0.60		0.08
Meganalisis	18-11-2015	26-11-2015	1200	0.28	0.63	0.06	0.03
