mes,mensal,presidente,positiva,regular,negativa,amostra,erro,nsnr,positiva_int,negativa_int,total_int,governo,bloco,mandato,eleicao,epu,ipca,igp,igpm,divida_publica,cambio,pib,pme,desocupacao,salario_real,cambio_var_mensal,cambio_lag,ipca_mes,ipca_var_mensal,ipca_var_anual,Inflacao_acumulada,pib_var_mensal,pib_var_anual,ipca_no_ano,pib_no_ano,cambio_defl
1995-01-31,1995-01,Fernando Henrique I,0.57,0.23,0.09,1000.0,3.0,10.0,570,90,660,FHC 1,left,1,0,58.11,1033.74,108.442,0.92,29.35,0.85,47028.6,,10.486956521739133,404.57,0.0,0.85,17.279999999999973,1.7,631.54,277.54,6.37,930.7,1.7,6.37,0.8190757128810229
1995-02-28,1995-02,Fernando Henrique I,0.57,0.23,0.09,1500.0,2.5,10.0,854,135,989,FHC 1,left,0,0,60.69,1044.28,109.945,1.39,29.43,0.84,49954.5,,10.486956521739133,400.53,-1.18,0.85,10.539999999999964,1.02,426.83,278.56,6.22,762.33,2.72,12.59,0.821421500692932
1995-03-31,1995-03,Fernando Henrique I,0.415,0.40750000000000003,0.125,1300.0,2.5,5.25,539,162,701,FHC 1,left,0,0,47.97,1060.47,111.178,1.12,28.92,0.89,60024.3,,10.486956521739133,394.14,5.95,0.84,16.190000000000055,1.55,274.78,280.11,20.16,604.48,4.27,32.75,0.861152141802068
1995-04-30,1995-04,Fernando Henrique I,0.39,0.4,0.17,2000.0,3.0,3.0,780,340,1120,FHC 1,left,0,0,65.07,1086.24,113.518,2.1,28.67,0.91,57789.5,,10.486956521739133,384.56,2.25,0.89,25.769999999999982,2.43,169.05,282.54,-3.72,350.47,6.7,29.03,0.864688079664161
1995-05-31,1995-05,Fernando Henrique I,0.38,0.425,0.15500000000000003,1600.0,3.0,3.5,608,248,856,FHC 1,left,0,0,12.69,1115.24,114.171,0.58,28.11,0.9,56350.5,,10.486956521739133,538.08,-1.1,0.91,29.0,2.67,91.79,285.21,-2.49,174.82,9.37,26.54,0.8505892665822539
1995-06-30,1995-06,Fernando Henrique I,0.405,0.395,0.17,1500.0,2.5,3.0,607,255,862,FHC 1,left,0,0,24.83,1140.44,116.984,2.46,28.58,0.91,56726.2,,10.486956521739133,526.6,1.11,0.9,25.200000000000045,2.26,33.03,287.47,0.67,71.24,11.63,27.21,0.8677879913944848
1995-07-31,1995-07,Fernando Henrique I,0.42,0.395,0.15000000000000002,1600.0,3.0,3.0,672,240,912,FHC 1,left,0,0,46.04,1167.35,119.114,1.82,28.74,0.93,58788.1,,10.486956521739133,513.95,2.2,0.91,26.909999999999854,2.36,27.45,289.83,3.63,44.13,13.99,30.84,0.8855021492770614
1995-08-31,1995-08,Fernando Henrique I,0.39,0.41,0.17,2000.0,3.0,3.0,780,340,1120,FHC 1,left,0,0,41.38,1178.91,121.729,2.2,29.06,0.94,60950.3,,10.486956521739133,508.76,1.08,0.93,11.560000000000173,0.99,26.36,290.82,3.68,38.92,14.98,34.52,0.920982275472819
1995-09-30,1995-09,Fernando Henrique I,0.41000000000000003,0.41000000000000003,0.15,1100.0,2.5,3.0,451,165,616,FHC 1,left,0,0,39.51,1190.58,120.869,-0.71,29.75,0.95,60610.8,,10.486956521739133,502.88,1.06,0.94,11.669999999999845,0.99,25.69,291.81,-0.56,38.27,15.97,33.96,0.9308842459649469
1995-10-31,1995-10,Fernando Henrique I,0.41000000000000003,0.41000000000000003,0.15,1100.0,2.5,3.0,451,165,616,FHC 1,left,0,0,39.81,1207.37,121.503,0.52,30.07,0.96,63428.1,,10.486956521739133,495.93,1.05,0.95,16.789999999999964,1.41,24.21,293.22,4.65,40.22,17.38,38.61,0.9327482496795187
