"data","epu","ipca","igp","igpm","divida_publica","cambio","pib","pme","desocupacao","salario_real"
"1990-01",,0.0054,4e-4,,,,0.2,,,645.74
"1990-02",,0.0095,7e-4,,,,0.4,,,579.38
"1990-03",,0.0173,0.0013,,,,0.8,,,582.95
"1990-04",,0.02,0.0016,,,,0.7,,,508.37
"1990-05",,0.0216,0.0017,,,,0.8,,,473.74
"1990-06",,0.0241,0.0019,,,,0.8,,,445.56
"1990-07",,0.0272,0.0021,,,,0.9,,,503.01
"1990-08",,0.0307,0.0024,,,,1,,,475.7
"1990-09",,0.0351,0.0027,,,,1.1,,,484.57
"1990-10",,0.0402,0.003,,,,1.4,,,449.25
"1990-11",,0.0469,0.0036,,,,1.7,,,498.13
"1990-12",,0.0556,0.0042,,,,1.8,,,443.56
"1991-01",111.85,0.0671,0.0049,,42.01,,2.1,,,511.52
"1991-02",146.82,0.081,0.006,,38.83,,2.4,,,548.82
"1991-03",124.65,0.0907,0.0065,,39.51,,2.5,,,525.05
"1991-04",153.11,0.0952,0.007,,39.7,,3.1,,,500.01
"1991-05",119.1,0.1023,0.0076,,39.5,,3.6,,,468.7
"1991-06",63.61,0.1137,0.0082,,38.1,,4.1,,,422.89
"1991-07",86.64,0.1278,0.0093,,36.18,,4.6,,,377.11
"1991-08",68.6,0.1478,0.0107,,35.22,,5.3,,,326.17
"1991-09",79.24,0.1709,0.0123,,34.13,,5.6,,,696.95
"1991-10",136.58,0.2055,0.0151,,35.55,,7.5,,,575.62
"1991-11",143.63,0.2573,0.019,,36.82,,9.2,,,455.11
"1991-12",59.78,0.3183,0.0235,,38.14,,10.5,,,366.58
"1992-01",67.28,0.4009,0.029,,37.33,,13.1,,,665.67
"1992-02",76.46,0.4983,0.0371,,37.38,,16.3,,,534.76
"1992-03",12.84,0.605,0.045,,38.3,,19.6,,,439.7
"1992-04",34.62,0.7256,0.054,,37.94,,23.6,,,363.87
"1992-05",16.7,0.9059,0.065,,37.17,,30.1,,,699.94
"1992-06",81.79,1.089,0.0804,,37.7,,37.5,,,579.18
"1992-07",107.32,1.3268,0.0979,,37.77,,46.1,,,474.43
"1992-08",89.9,1.6205,0.122,,36.85,,56.7,,,387.67
"1992-09",126.91,2.0196,0.1529,,36.66,,70.8,,,709.92
"1992-10",82.99,2.5294,0.1938,,36.91,,89,,,563.11
"1992-11",135.1,3.0983,0.2392,,36.83,,110.4,,,458.23
"1992-12",125.35,3.8803,0.2991,,37.06,,127.7,7.2,,364.89
"1993-01",128.73,5.0579,0.3764,,36.34,0.01,164,,,678.69
"1993-02",78.51,6.3214,0.4833,,36.54,0.01,206.9,,,543.87
"1993-03",123.48,8.0446,0.6102,,36.41,0.01,294.6,,,582.64
"1993-04",76.8,10.277,0.7862,,35.79,0.01,368.1,,,453.87
"1993-05",113.69,13.1227,1.0197,,34.94,0.01,481.6,,,691.81
"1993-06",56.75,17.0686,1.3408,,34.45,0.02,613.5,,,530.65
"1993-07",75.43,22.3121,1.7599,,33.78,0.02,841.4,,,568.93
"1993-08",91.92,29.6662,2.3192,,33.47,0.03,1149.5,,,508.91
"1993-09",91.65,40.2541,3.1375,,33.22,0.04,1578.4,,,651.31
"1993-10",99.83,53.9083,4.2368,,33.13,0.05,2071.3,,,607.85
"1993-11",36.05,73.078,5.7685,,32.7,0.07,2792.8,,,558.35
