date;empresa;candidato;turno;voto;amostra
2021-03-14;Atlas;Bolsonaro;1.0;0.327;3721.0
2021-03-14;Atlas;Branco/Nulo;1.0;0.061;3721.0
2021-03-14;Atlas;Ciro;1.0;0.075;3721.0
2021-03-14;Atlas;Doria;1.0;0.043;3721.0
2021-03-14;Atlas;Lula;1.0;0.244;3721.0
2021-03-14;Atlas;Moro;1.0;0.097;3721.0
2021-03-21;Atlas;Bolsonaro;;;
2021-03-21;Atlas;Branco/Nulo;;;
2021-03-21;Atlas;Ciro;;;
2021-03-21;Atlas;Doria;;;
2021-03-21;Atlas;Lula;;;
2021-03-28;Atlas;Bolsonaro;;;
2021-03-28;Atlas;Branco/Nulo;;;
2021-03-28;Atlas;Ciro;;;
2021-03-28;Atlas;Doria;;;
2021-03-28;Atlas;Lula;;;
2021-04-04;Atlas;Bolsonaro;;;
2021-04-04;Atlas;Branco/Nulo;;;
2021-04-04;Atlas;Ciro;;;
2021-04-04;Atlas;Doria;;;
2021-04-04;Atlas;Lula;;;
2021-04-11;Atlas;Bolsonaro;;;
2021-04-11;Atlas;Branco/Nulo;;;
2021-04-11;Atlas;Ciro;;;
2021-04-11;Atlas;Doria;;;
2021-04-11;Atlas;Lula;;;
2021-04-18;Atlas;Bolsonaro;;;
2021-04-18;Atlas;Branco/Nulo;;;
2021-04-18;Atlas;Ciro;;;
2021-04-18;Atlas;Doria;;;
2021-04-18;Atlas;Lula;;;
2021-04-25;Atlas;Bolsonaro;;;
2021-04-25;Atlas;Branco/Nulo;;;
2021-04-25;Atlas;Ciro;;;
2021-04-25;Atlas;Doria;;;
2021-04-25;Atlas;Lula;;;
2021-05-02;Atlas;Bolsonaro;;;
2021-05-02;Atlas;Branco/Nulo;;;
2021-05-02;Atlas;Ciro;;;
2021-05-02;Atlas;Doria;;;
2021-05-02;Atlas;Lula;;;
2021-05-09;Atlas;Bolsonaro;;;
2021-05-09;Atlas;Branco/Nulo;;;
2021-05-09;Atlas;Ciro;;;
2021-05-09;Atlas;Doria;;;
2021-05-09;Atlas;Lula;;;
2021-05-16;Atlas;Bolsonaro;;;
2021-05-16;Atlas;Branco/Nulo;;;
2021-05-16;Atlas;Ciro;;;
2021-05-16;Atlas;Doria;;;
2021-05-16;Atlas;Lula;;;
2021-05-23;Atlas;Bolsonaro;;;
2021-05-23;Atlas;Branco/Nulo;;;
2021-05-23;Atlas;Ciro;;;
2021-05-23;Atlas;Doria;;;
2021-05-23;Atlas;Lula;;;
2021-05-30;Atlas;Bolsonaro;;;
2021-05-30;Atlas;Branco/Nulo;;;
