date;turno;previsto;candidato;hdi_50_lower;hdi_50_higher;hdi_90_lower;hdi_90_higher
2020-09-06;1;0,309;Bolsonaro;0,291;0,310;0,277;0,325
2020-09-13;1;0,309;Bolsonaro;0,291;0,310;0,277;0,325
2020-09-20;1;0,309;Bolsonaro;0,292;0,311;0,277;0,325
2020-09-27;1;0,309;Bolsonaro;0,290;0,310;0,277;0,324
2020-10-04;1;0,309;Bolsonaro;0,292;0,311;0,278;0,325
2020-10-11;1;0,310;Bolsonaro;0,291;0,310;0,278;0,325
2020-10-18;1;0,309;Bolsonaro;0,291;0,311;0,278;0,326
2020-10-25;1;0,309;Bolsonaro;0,290;0,309;0,277;0,324
2020-11-01;1;0,309;Bolsonaro;0,291;0,310;0,277;0,325
2020-11-08;1;0,309;Bolsonaro;0,291;0,310;0,278;0,325
2020-11-15;1;0,309;Bolsonaro;0,291;0,310;0,277;0,325
2020-11-22;1;0,309;Bolsonaro;0,292;0,312;0,278;0,325
2020-11-29;1;0,309;Bolsonaro;0,291;0,310;0,277;0,325
2020-12-06;1;0,309;Bolsonaro;0,292;0,311;0,278;0,325
2020-12-13;1;0,309;Bolsonaro;0,291;0,310;0,278;0,325
2020-12-20;1;0,309;Bolsonaro;0,292;0,312;0,277;0,324
2020-12-27;1;0,342;Bolsonaro;0,321;0,334;0,312;0,344
2021-01-03;1;0,342;Bolsonaro;0,322;0,335;0,311;0,344
2021-01-10;1;0,342;Bolsonaro;0,321;0,335;0,312;0,345
2021-01-17;1;0,342;Bolsonaro;0,321;0,334;0,312;0,345
2021-01-24;1;0,342;Bolsonaro;0,321;0,335;0,312;0,345
2021-01-31;1;0,342;Bolsonaro;0,321;0,334;0,311;0,344
2021-02-07;1;0,342;Bolsonaro;0,321;0,334;0,312;0,345
2021-02-14;1;0,342;Bolsonaro;0,322;0,335;0,312;0,344
2021-02-21;1;0,342;Bolsonaro;0,321;0,334;0,312;0,345
2021-02-28;1;0,342;Bolsonaro;0,322;0,335;0,311;0,344
2021-03-07;1;0,333;Bolsonaro;0,307;0,318;0,298;0,326
2021-03-14;1;0,327;Bolsonaro;0,295;0,305;0,288;0,313
2021-03-21;1;0,311;Bolsonaro;0,280;0,290;0,273;0,297
2021-03-28;1;0,311;Bolsonaro;0,281;0,290;0,274;0,297
2021-04-04;1;0,311;Bolsonaro;0,281;0,290;0,274;0,298
2021-04-11;1;0,311;Bolsonaro;0,280;0,290;0,273;0,297
2021-04-18;1;0,314;Bolsonaro;0,284;0,294;0,276;0,300
2021-04-25;1;0,315;Bolsonaro;0,285;0,295;0,278;0,301
2021-05-02;1;0,315;Bolsonaro;0,285;0,295;0,278;0,302
2021-05-09;1;0,315;Bolsonaro;0,285;0,294;0,277;0,301
2021-05-16;1;0,301;Bolsonaro;0,283;0,293;0,276;0,300
2021-05-23;1;0,301;Bolsonaro;0,284;0,293;0,277;0,300
2021-05-30;1;0,301;Bolsonaro;0,284;0,293;0,277;0,300
2021-06-06;1;0,296;Bolsonaro;0,284;0,293;0,276;0,299
2021-06-13;1;0,294;Bolsonaro;0,286;0,295;0,279;0,302
2021-06-20;1;0,294;Bolsonaro;0,285;0,294;0,279;0,302
2021-06-27;1;0,286;Bolsonaro;0,284;0,293;0,277;0,300
2021-07-04;1;0,283;Bolsonaro;0,283;0,292;0,277;0,299
2021-07-11;1;0,286;Bolsonaro;0,280;0,289;0,273;0,295
2021-07-18;1;0,278;Bolsonaro;0,278;0,287;0,272;0,294
2021-07-25;1;0,278;Bolsonaro;0,279;0,288;0,272;0,294
2021-08-01;1;0,281;Bolsonaro;0,281;0,290;0,274;0,296
2021-08-08;1;0,276;Bolsonaro;0,276;0,284;0,270;0,291
2021-08-15;1;0,275;Bolsonaro;0,275;0,284;0,270;0,291
2021-08-22;1;0,282;Bolsonaro;0,281;0,290;0,275;0,297
2021-08-29;1;0,280;Bolsonaro;0,280;0,288;0,273;0,295
2021-09-05;1;0,282;Bolsonaro;0,281;0,290;0,275;0,297
2021-09-12;1;0,273;Bolsonaro;0,279;0,288;0,273;0,294
2021-09-19;1;0,276;Bolsonaro;0,282;0,291;0,276;0,297
2021-09-26;1;0,272;Bolsonaro;0,274;0,283;0,267;0,289
2021-10-03;1;0,281;Bolsonaro;0,271;0,280;0,265;0,288
2021-10-10;1;0,296;Bolsonaro;0,275;0,285;0,268;0,291
2021-10-17;1;0,281;Bolsonaro;0,271;0,281;0,264;0,288
2021-10-24;1;0,288;Bolsonaro;0,279;0,289;0,271;0,295
2021-10-31;1;0,282;Bolsonaro;0,272;0,281;0,266;0,289
2021-11-07;1;0,268;Bolsonaro;0,264;0,273;0,257;0,280
2021-11-14;1;0,305;Bolsonaro;0,278;0,288;0,269;0,295
2021-11-21;1;0,285;Bolsonaro;0,268;0,278;0,261;0,286
2021-11-28;1;0,270;Bolsonaro;0,246;0,260;0,238;0,271
2020-09-06;1;0,169;Lula;0,186;0,204;0,173;0,217
2020-09-13;1;0,169;Lula;0,186;0,203;0,173;0,216
2020-09-20;1;0,169;Lula;0,185;0,203;0,174;0,216
2020-09-27;1;0,169;Lula;0,186;0,204;0,174;0,216
2020-10-04;1;0,169;Lula;0,186;0,204;0,175;0,217
2020-10-11;1;0,169;Lula;0,186;0,203;0,174;0,216
2020-10-18;1;0,169;Lula;0,186;0,204;0,174;0,216
2020-10-25;1;0,169;Lula;0,187;0,204;0,174;0,216
2020-11-01;1;0,169;Lula;0,186;0,203;0,174;0,217
2020-11-08;1;0,169;Lula;0,187;0,205;0,175;0,217
2020-11-15;1;0,169;Lula;0,186;0,204;0,175;0,217
2020-11-22;1;0,169;Lula;0,185;0,202;0,174;0,216
2020-11-29;1;0,169;Lula;0,186;0,204;0,174;0,216
2020-12-06;1;0,169;Lula;0,186;0,203;0,174;0,216
2020-12-13;1;0,169;Lula;0,186;0,204;0,174;0,217
2020-12-20;1;0,169;Lula;0,186;0,203;0,175;0,217
2020-12-27;1;0,169;Lula;0,185;0,203;0,175;0,217
2021-01-03;1;0,169;Lula;0,186;0,204;0,174;0,216
2021-01-10;1;0,169;Lula;0,186;0,204;0,174;0,217
2021-01-17;1;0,169;Lula;0,186;0,203;0,175;0,217
2021-01-24;1;0,169;Lula;0,186;0,203;0,174;0,217
2021-01-31;1;0,169;Lula;0,186;0,203;0,175;0,217
2021-02-07;1;0,169;Lula;0,187;0,204;0,174;0,217
2021-02-14;1;0,170;Lula;0,186;0,203;0,174;0,217
2021-02-21;1;0,169;Lula;0,186;0,203;0,173;0,216
2021-02-28;1;0,169;Lula;0,186;0,203;0,174;0,215
2021-03-07;1;0,169;Lula;0,187;0,204;0,175;0,217
2021-03-14;1;0,230;Lula;0,265;0,277;0,256;0,286
2021-03-21;1;0,271;Lula;0,289;0,299;0,281;0,307
2021-03-28;1;0,271;Lula;0,289;0,299;0,281;0,307
2021-04-04;1;0,271;Lula;0,289;0,300;0,281;0,307
2021-04-11;1;0,271;Lula;0,288;0,299;0,281;0,307
2021-04-18;1;0,271;Lula;0,290;0,300;0,281;0,307
2021-04-25;1;0,294;Lula;0,313;0,324;0,305;0,332
2021-05-02;1;0,294;Lula;0,313;0,324;0,305;0,332
2021-05-09;1;0,294;Lula;0,313;0,324;0,305;0,332
2021-05-16;1;0,317;Lula;0,309;0,319;0,302;0,328
2021-05-23;1;0,317;Lula;0,308;0,319;0,301;0,327
2021-05-30;1;0,317;Lula;0,310;0,320;0,302;0,327
2021-06-06;1;0,319;Lula;0,319;0,329;0,312;0,337
2021-06-13;1;0,318;Lula;0,316;0,326;0,309;0,334
2021-06-20;1;0,318;Lula;0,316;0,326;0,308;0,333
2021-06-27;1;0,347;Lula;0,328;0,338;0,320;0,345
2021-07-04;1;0,347;Lula;0,319;0,329;0,312;0,337
2021-07-11;1;0,377;Lula;0,353;0,363;0,345;0,369
2021-07-18;1;0,380;Lula;0,352;0,362;0,345;0,370
2021-07-25;1;0,380;Lula;0,352;0,362;0,345;0,371
2021-08-01;1;0,410;Lula;0,382;0,392;0,374;0,399
2021-08-08;1;0,404;Lula;0,375;0,386;0,368;0,394
2021-08-15;1;0,404;Lula;0,376;0,386;0,368;0,394
2021-08-22;1;0,403;Lula;0,375;0,385;0,367;0,393
2021-08-29;1;0,405;Lula;0,377;0,387;0,369;0,394
2021-09-05;1;0,406;Lula;0,378;0,388;0,370;0,395
2021-09-12;1;0,400;Lula;0,360;0,370;0,352;0,378
2021-09-19;1;0,396;Lula;0,356;0,366;0,349;0,374
2021-09-26;1;0,411;Lula;0,379;0,390;0,372;0,398
2021-10-03;1;0,395;Lula;0,372;0,384;0,364;0,392
2021-10-10;1;0,353;Lula;0,363;0,374;0,354;0,382
2021-10-17;1;0,395;Lula;0,372;0,384;0,363;0,392
2021-10-24;1;0,389;Lula;0,366;0,377;0,358;0,386
2021-10-31;1;0,377;Lula;0,354;0,365;0,346;0,374
2021-11-07;1;0,402;Lula;0,366;0,377;0,358;0,387
2021-11-14;1;0,346;Lula;0,344;0,357;0,334;0,365
2021-11-21;1;0,361;Lula;0,359;0,371;0,351;0,380
2021-11-28;1;0,360;Lula;0,334;0,350;0,323;0,361
2020-09-06;1;0,060;Ciro;0,049;0,058;0,043;0,064
2020-09-13;1;0,060;Ciro;0,048;0,056;0,044;0,064
2020-09-20;1;0,060;Ciro;0,049;0,058;0,044;0,064
2020-09-27;1;0,060;Ciro;0,048;0,057;0,044;0,064
2020-10-04;1;0,060;Ciro;0,049;0,058;0,043;0,064
2020-10-11;1;0,060;Ciro;0,049;0,058;0,043;0,063
2020-10-18;1;0,060;Ciro;0,049;0,057;0,043;0,064
2020-10-25;1;0,060;Ciro;0,049;0,058;0,043;0,063
2020-11-01;1;0,060;Ciro;0,049;0,058;0,043;0,064
2020-11-08;1;0,060;Ciro;0,049;0,057;0,044;0,064
2020-11-15;1;0,060;Ciro;0,049;0,057;0,043;0,064
2020-11-22;1;0,060;Ciro;0,049;0,057;0,043;0,064
2020-11-29;1;0,060;Ciro;0,049;0,057;0,043;0,064
2020-12-06;1;0,060;Ciro;0,049;0,057;0,043;0,064
2020-12-13;1;0,060;Ciro;0,048;0,057;0,043;0,063
2020-12-20;1;0,060;Ciro;0,049;0,057;0,043;0,063
2020-12-27;1;0,060;Ciro;0,049;0,057;0,044;0,064
2021-01-03;1;0,060;Ciro;0,049;0,057;0,043;0,064
2021-01-10;1;0,060;Ciro;0,049;0,057;0,044;0,064
2021-01-17;1;0,060;Ciro;0,049;0,058;0,043;0,064
2021-01-24;1;0,060;Ciro;0,049;0,057;0,043;0,064
2021-01-31;1;0,060;Ciro;0,048;0,057;0,043;0,064
2021-02-07;1;0,060;Ciro;0,049;0,057;0,044;0,064
2021-02-14;1;0,060;Ciro;0,049;0,057;0,043;0,064
2021-02-21;1;0,060;Ciro;0,049;0,058;0,043;0,064
2021-02-28;1;0,060;Ciro;0,049;0,058;0,043;0,063
2021-03-07;1;0,083;Ciro;0,064;0,070;0,060;0,075
2021-03-14;1;0,083;Ciro;0,070;0,075;0,067;0,079
2021-03-21;1;0,070;Ciro;0,056;0,060;0,054;0,063
2021-03-28;1;0,070;Ciro;0,056;0,060;0,054;0,063
2021-04-04;1;0,070;Ciro;0,056;0,060;0,054;0,063
2021-04-11;1;0,070;Ciro;0,057;0,060;0,054;0,063
2021-04-18;1;0,074;Ciro;0,059;0,063;0,057;0,066
2021-04-25;1;0,077;Ciro;0,062;0,066;0,059;0,069
2021-05-02;1;0,077;Ciro;0,062;0,066;0,059;0,068
2021-05-09;1;0,077;Ciro;0,062;0,066;0,060;0,069
2021-05-16;1;0,076;Ciro;0,065;0,069;0,062;0,072
2021-05-23;1;0,076;Ciro;0,065;0,069;0,062;0,072
2021-05-30;1;0,076;Ciro;0,065;0,069;0,062;0,072
2021-06-06;1;0,071;Ciro;0,067;0,071;0,064;0,073
2021-06-13;1;0,106;Ciro;0,099;0,104;0,095;0,107
