date;turno;previsto;candidato;hdi_50_lower;hdi_50_higher;hdi_90_lower;hdi_90_higher
2020-09-06;1;0,309;Bolsonaro;0,290;0,309;0,275;0,325
2020-09-13;1;0,309;Bolsonaro;0,290;0,310;0,275;0,324
2020-09-20;1;0,309;Bolsonaro;0,290;0,310;0,275;0,323
2020-09-27;1;0,309;Bolsonaro;0,290;0,310;0,276;0,324
2020-10-04;1;0,309;Bolsonaro;0,289;0,309;0,276;0,325
2020-10-11;1;0,309;Bolsonaro;0,289;0,309;0,276;0,324
2020-10-18;1;0,309;Bolsonaro;0,290;0,310;0,275;0,324
2020-10-25;1;0,309;Bolsonaro;0,288;0,308;0,276;0,325
2020-11-01;1;0,309;Bolsonaro;0,289;0,310;0,275;0,324
2020-11-08;1;0,309;Bolsonaro;0,290;0,310;0,275;0,324
2020-11-15;1;0,309;Bolsonaro;0,288;0,308;0,275;0,324
2020-11-22;1;0,309;Bolsonaro;0,288;0,308;0,276;0,325
2020-11-29;1;0,309;Bolsonaro;0,289;0,309;0,276;0,325
2020-12-06;1;0,309;Bolsonaro;0,289;0,309;0,275;0,324
2020-12-13;1;0,309;Bolsonaro;0,289;0,309;0,275;0,323
2020-12-20;1;0,309;Bolsonaro;0,290;0,310;0,275;0,323
2020-12-27;1;0,341;Bolsonaro;0,318;0,333;0,308;0,342
2021-01-03;1;0,341;Bolsonaro;0,318;0,332;0,308;0,343
2021-01-10;1;0,341;Bolsonaro;0,318;0,332;0,308;0,343
2021-01-17;1;0,342;Bolsonaro;0,318;0,333;0,308;0,343
2021-01-24;1;0,341;Bolsonaro;0,317;0,331;0,308;0,342
2021-01-31;1;0,341;Bolsonaro;0,318;0,332;0,308;0,343
2021-02-07;1;0,341;Bolsonaro;0,318;0,332;0,307;0,342
2021-02-14;1;0,341;Bolsonaro;0,317;0,331;0,309;0,343
2021-02-21;1;0,341;Bolsonaro;0,318;0,332;0,308;0,342
2021-02-28;1;0,341;Bolsonaro;0,319;0,333;0,309;0,343
2021-03-07;1;0,334;Bolsonaro;0,317;0,331;0,309;0,341
2021-03-14;1;0,329;Bolsonaro;0,297;0,308;0,287;0,316
2021-03-21;1;0,308;Bolsonaro;0,276;0,288;0,269;0,296
2021-03-28;1;0,308;Bolsonaro;0,277;0,289;0,269;0,296
2021-04-04;1;0,308;Bolsonaro;0,278;0,289;0,269;0,296
2021-04-11;1;0,308;Bolsonaro;0,277;0,289;0,269;0,296
2021-04-18;1;0,312;Bolsonaro;0,282;0,293;0,273;0,300
2021-04-25;1;0,314;Bolsonaro;0,283;0,294;0,274;0,302
2021-05-02;1;0,314;Bolsonaro;0,282;0,294;0,275;0,302
2021-05-09;1;0,314;Bolsonaro;0,282;0,294;0,274;0,302
2021-05-16;1;0,296;Bolsonaro;0,280;0,292;0,273;0,300
2021-05-23;1;0,296;Bolsonaro;0,281;0,292;0,273;0,300
2021-05-30;1;0,296;Bolsonaro;0,282;0,293;0,274;0,300
2021-06-06;1;0,291;Bolsonaro;0,280;0,291;0,273;0,299
2021-06-13;1;0,291;Bolsonaro;0,283;0,294;0,275;0,300
2021-06-20;1;0,291;Bolsonaro;0,282;0,292;0,276;0,301
2021-06-27;1;0,281;Bolsonaro;0,281;0,292;0,274;0,299
2021-07-04;1;0,278;Bolsonaro;0,279;0,290;0,273;0,298
2021-07-11;1;0,282;Bolsonaro;0,275;0,286;0,268;0,293
2021-07-18;1;0,274;Bolsonaro;0,275;0,286;0,267;0,293
2021-07-25;1;0,274;Bolsonaro;0,275;0,286;0,268;0,293
2021-08-01;1;0,278;Bolsonaro;0,278;0,288;0,270;0,295
2021-08-08;1;0,272;Bolsonaro;0,271;0,281;0,265;0,289
2021-08-15;1;0,272;Bolsonaro;0,272;0,282;0,264;0,289
2021-08-22;1;0,280;Bolsonaro;0,280;0,290;0,272;0,297
2021-08-29;1;0,277;Bolsonaro;0,276;0,287;0,269;0,294
2021-09-05;1;0,279;Bolsonaro;0,278;0,289;0,271;0,296
2021-09-12;1;0,267;Bolsonaro;0,275;0,285;0,267;0,293
2021-09-19;1;0,270;Bolsonaro;0,279;0,289;0,272;0,297
2021-09-26;1;0,266;Bolsonaro;0,268;0,279;0,260;0,286
2021-10-03;1;0,275;Bolsonaro;0,263;0,275;0,256;0,283
2021-10-10;1;0,292;Bolsonaro;0,271;0,284;0,262;0,293
2021-10-17;1;0,292;Bolsonaro;0,271;0,283;0,262;0,293
2021-10-24;1;0,309;Bolsonaro;0,287;0,300;0,277;0,309
2021-10-31;1;0,292;Bolsonaro;0,254;0,269;0,243;0,279
2020-09-06;1;0,169;Lula;0,193;0,211;0,180;0,224
2020-09-13;1;0,169;Lula;0,192;0,210;0,180;0,225
2020-09-20;1;0,169;Lula;0,192;0,210;0,180;0,225
2020-09-27;1;0,169;Lula;0,192;0,210;0,180;0,224
2020-10-04;1;0,169;Lula;0,193;0,211;0,180;0,224
2020-10-11;1;0,169;Lula;0,193;0,211;0,180;0,225
2020-10-18;1;0,169;Lula;0,192;0,210;0,180;0,224
2020-10-25;1;0,169;Lula;0,192;0,211;0,180;0,225
2020-11-01;1;0,169;Lula;0,194;0,212;0,180;0,224
2020-11-08;1;0,169;Lula;0,193;0,212;0,180;0,224
2020-11-15;1;0,169;Lula;0,193;0,210;0,181;0,226
2020-11-22;1;0,169;Lula;0,191;0,209;0,180;0,225
2020-11-29;1;0,169;Lula;0,193;0,211;0,181;0,225
2020-12-06;1;0,169;Lula;0,193;0,211;0,180;0,224
2020-12-13;1;0,169;Lula;0,192;0,210;0,181;0,225
2020-12-20;1;0,169;Lula;0,193;0,212;0,179;0,224
2020-12-27;1;0,169;Lula;0,192;0,211;0,180;0,225
2021-01-03;1;0,169;Lula;0,194;0,212;0,181;0,225
2021-01-10;1;0,169;Lula;0,192;0,211;0,180;0,225
2021-01-17;1;0,169;Lula;0,193;0,211;0,180;0,224
2021-01-24;1;0,169;Lula;0,194;0,212;0,181;0,225
2021-01-31;1;0,169;Lula;0,193;0,211;0,181;0,224
2021-02-07;1;0,169;Lula;0,192;0,210;0,180;0,224
2021-02-14;1;0,169;Lula;0,191;0,210;0,180;0,224
2021-02-21;1;0,169;Lula;0,192;0,210;0,180;0,224
2021-02-28;1;0,169;Lula;0,193;0,211;0,180;0,224
2021-03-07;1;0,170;Lula;0,194;0,212;0,181;0,224
