date;turno;previsto;candidato;hdi_50_lower;hdi_50_higher;hdi_90_lower;hdi_90_higher;updated
2020-09-06;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-09-13;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-09-20;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-09-27;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-10-04;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-10-11;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-10-18;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-10-25;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-11-01;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-11-08;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-11-15;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-11-22;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-11-29;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-12-06;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-12-13;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-12-20;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2020-12-27;1;0,341;Bolsonaro;0,3295;0,3524;0,3069;0,3751;2021-12-03
2021-01-03;1;0,341;Bolsonaro;0,3295;0,3524;0,3069;0,3751;2021-12-03
2021-01-10;1;0,341;Bolsonaro;0,3295;0,3524;0,3069;0,3751;2021-12-03
2021-01-17;1;0,342;Bolsonaro;0,3305;0,3534;0,3079;0,3761;2021-12-03
2021-01-24;1;0,341;Bolsonaro;0,3295;0,3524;0,3069;0,3751;2021-12-03
2021-01-31;1;0,341;Bolsonaro;0,3295;0,3524;0,3069;0,3751;2021-12-03
2021-02-07;1;0,341;Bolsonaro;0,3295;0,3524;0,3069;0,3751;2021-12-03
2021-02-14;1;0,341;Bolsonaro;0,3295;0,3524;0,3069;0,3751;2021-12-03
2021-02-21;1;0,341;Bolsonaro;0,3295;0,3524;0,3069;0,3751;2021-12-03
2021-02-28;1;0,341;Bolsonaro;0,3295;0,3524;0,3069;0,3751;2021-12-03
2021-03-07;1;0,334;Bolsonaro;0,3225;0,3454;0,2999;0,3681;2021-12-03
2021-03-14;1;0,329;Bolsonaro;0,3175;0,3404;0,2949;0,3631;2021-12-03
2021-03-21;1;0,308;Bolsonaro;0,2965;0,3194;0,2739;0,3421;2021-12-03
2021-03-28;1;0,308;Bolsonaro;0,2965;0,3194;0,2739;0,3421;2021-12-03
2021-04-04;1;0,308;Bolsonaro;0,2965;0,3194;0,2739;0,3421;2021-12-03
2021-04-11;1;0,308;Bolsonaro;0,2965;0,3194;0,2739;0,3421;2021-12-03
2021-04-18;1;0,312;Bolsonaro;0,3005;0,3234;0,2779;0,3461;2021-12-03
2021-04-25;1;0,314;Bolsonaro;0,3025;0,3254;0,2799;0,3481;2021-12-03
2021-05-02;1;0,314;Bolsonaro;0,3025;0,3254;0,2799;0,3481;2021-12-03
2021-05-09;1;0,314;Bolsonaro;0,3025;0,3254;0,2799;0,3481;2021-12-03
2021-05-16;1;0,296;Bolsonaro;0,2845;0,3074;0,2619;0,3301;2021-12-03
2021-05-23;1;0,296;Bolsonaro;0,2845;0,3074;0,2619;0,3301;2021-12-03
2021-05-30;1;0,296;Bolsonaro;0,2845;0,3074;0,2619;0,3301;2021-12-03
2021-06-06;1;0,291;Bolsonaro;0,2795;0,3024;0,2569;0,3251;2021-12-03
2021-06-13;1;0,291;Bolsonaro;0,2795;0,3024;0,2569;0,3251;2021-12-03
2021-06-20;1;0,291;Bolsonaro;0,2795;0,3024;0,2569;0,3251;2021-12-03
2021-06-27;1;0,281;Bolsonaro;0,2695;0,2924;0,2469;0,3151;2021-12-03
2021-07-04;1;0,278;Bolsonaro;0,2665;0,2894;0,2439;0,3121;2021-12-03
2021-07-11;1;0,282;Bolsonaro;0,2705;0,2934;0,2479;0,3161;2021-12-03
2021-07-18;1;0,274;Bolsonaro;0,2625;0,2854;0,2399;0,3081;2021-12-03
2021-07-25;1;0,274;Bolsonaro;0,2625;0,2854;0,2399;0,3081;2021-12-03
2021-08-01;1;0,278;Bolsonaro;0,2665;0,2894;0,2439;0,3121;2021-12-03
2021-08-08;1;0,272;Bolsonaro;0,2605;0,2834;0,2379;0,3061;2021-12-03
2021-08-15;1;0,272;Bolsonaro;0,2605;0,2834;0,2379;0,3061;2021-12-03
2021-08-22;1;0,28;Bolsonaro;0,2685;0,2914;0,2459;0,3141;2021-12-03
2021-08-29;1;0,277;Bolsonaro;0,2655;0,2884;0,2429;0,3111;2021-12-03
2021-09-05;1;0,279;Bolsonaro;0,2675;0,2904;0,2449;0,3131;2021-12-03
2021-09-12;1;0,267;Bolsonaro;0,2555;0,2784;0,2329;0,3011;2021-12-03
2021-09-19;1;0,27;Bolsonaro;0,2585;0,2814;0,2359;0,3041;2021-12-03
2021-09-26;1;0,266;Bolsonaro;0,2545;0,2774;0,2319;0,3001;2021-12-03
2021-10-03;1;0,275;Bolsonaro;0,2635;0,2864;0,2409;0,3091;2021-12-03
2021-10-10;1;0,292;Bolsonaro;0,2805;0,3034;0,2579;0,3261;2021-12-03
2021-10-17;1;0,292;Bolsonaro;0,2805;0,3034;0,2579;0,3261;2021-12-03
2021-10-24;1;0,309;Bolsonaro;0,2975;0,3204;0,2749;0,3431;2021-12-03
2021-10-31;1;0,28;Bolsonaro;0,2685;0,2914;0,2459;0,3141;2021-12-03
2021-11-07;1;0,276;Bolsonaro;0,2645;0,2874;0,2419;0,3101;2021-12-03
2021-11-14;1;0,272;Bolsonaro;0,2605;0,2834;0,2379;0,3061;2021-12-03
2021-11-21;1;0,254;Bolsonaro;0,2425;0,2654;0,2199;0,2881;2021-12-03
2021-11-28;1;0,254;Bolsonaro;0,2425;0,2654;0,2199;0,2881;2021-12-03
2021-12-05;1;0,263;Bolsonaro;0,2515;0,2744;0,2289;0,2971;2021-12-03
2021-12-12;1;0,267;Bolsonaro;0,2555;0,2784;0,2329;0,3011;2021-12-03
2021-12-19;1;0,269;Bolsonaro;0,2575;0,2804;0,2349;0,3031;2021-12-03
2020-09-06;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-09-13;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-09-20;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-09-27;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-10-04;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-10-11;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-10-18;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-10-25;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-11-01;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-11-08;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-11-15;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-11-22;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-11-29;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-12-06;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-12-13;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-12-20;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2020-12-27;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2021-01-03;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2021-01-10;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2021-01-17;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2021-01-24;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2021-01-31;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2021-02-07;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2021-02-14;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2021-02-21;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2021-02-28;1;0,169;Lula;0,1575;0,1804;0,1349;0,2031;2021-12-03
2021-03-07;1;0,17;Lula;0,1585;0,1814;0,1359;0,2041;2021-12-03
2021-03-14;1;0,23;Lula;0,2185;0,2414;0,1959;0,2641;2021-12-03
2021-03-21;1;0,271;Lula;0,2595;0,2824;0,2369;0,3051;2021-12-03
2021-03-28;1;0,271;Lula;0,2595;0,2824;0,2369;0,3051;2021-12-03
2021-04-04;1;0,271;Lula;0,2595;0,2824;0,2369;0,3051;2021-12-03
2021-04-11;1;0,271;Lula;0,2595;0,2824;0,2369;0,3051;2021-12-03
2021-04-18;1;0,271;Lula;0,2595;0,2824;0,2369;0,3051;2021-12-03
2021-04-25;1;0,294;Lula;0,2825;0,3054;0,2599;0,3281;2021-12-03
2021-05-02;1;0,294;Lula;0,2825;0,3054;0,2599;0,3281;2021-12-03
2021-05-09;1;0,294;Lula;0,2825;0,3054;0,2599;0,3281;2021-12-03
2021-05-16;1;0,317;Lula;0,3055;0,3284;0,2829;0,3511;2021-12-03
2021-05-23;1;0,317;Lula;0,3055;0,3284;0,2829;0,3511;2021-12-03
2021-05-30;1;0,317;Lula;0,3055;0,3284;0,2829;0,3511;2021-12-03
2021-06-06;1;0,319;Lula;0,3075;0,3304;0,2849;0,3531;2021-12-03
2021-06-13;1;0,318;Lula;0,3065;0,3294;0,2839;0,3521;2021-12-03
