data_fim,empresa,modo,positiva,regular,negativa,amostra,erro
2019-01-10,IDEIA Big Data,Internet,0.5,0.28,0.22,1000.0,3.0
2019-01-15,Ipespe,CATI,0.4,0.29,0.2,1000.0,3.2
2019-01-21,IDEIA Big Data,Internet,0.51,0.28,0.21,1000.0,3.0
2019-01-30,IDEIA Big Data,Internet,0.5,0.28,0.22,2300.0,2.0
2019-01-30,Ibope,Presencial,0.49,0.26,0.11,2000.0,2.0
2019-02-07,IDEIA Big Data,Internet,0.44,0.3,0.26,1000.0,3.0
2019-02-10,Ipespe,CATI,0.4,0.32,0.17,1000.0,3.2
2019-02-23,MDA,Presencial,0.389,0.29,0.19,2002.0,2.2
2019-02-26,Ibope,Presencial,0.39,0.3,0.19,2000.0,2.0
2019-02-27,IDEIA Big Data,Internet,0.41,0.29,0.3,2300.0,2.0
2019-03-01,Ipespe,CATI,0.37,0.32,0.24,1000.0,3.2
2019-03-07,IDEIA Big Data,Internet,0.31,0.39,0.3,1000.0,3.0
2019-03-19,Real Time Big Data,CATI,0.39,0.3,0.25,2000.0,2.0
2019-03-21,IDEIA Big Data,Internet,0.3,0.4,0.3,1000.0,3.0
2019-03-28,Ibope,Presencial,0.34,0.34,0.24,2000.0,2.0
2019-03-28,Atlas,Internet,0.361,0.293,0.271,2000.0,2.0
2019-03-31,Paraná,CATI,0.45799999999999996,0.295,0.222,2508.0,2.0
2019-04-01,Ipespe,CATI,0.35,0.32,0.26,1000.0,3.2
2019-04-03,Datafolha,Presencial,0.32,0.33,0.3,2800.0,2.0
2019-04-04,IDEIA Big Data,Internet,0.28,0.41,0.31,1000.0,3.2
2019-04-18,IDEIA Big Data,Internet,0.29,0.4,0.31,1000.0,3.0
2019-04-25,Vox Populi,Presencial,0.26,0.39,0.3,1900.0,2.2
2019-04-28,Ibope,Presencial,0.35,0.31,0.27,2000.0,2.0
2019-04-30,Atlas,Internet,0.305,0.324,0.312,2000.0,2.0
2019-04-30,Instituto FSB,CATI,0.59,0.27,0.1,1000.0,3.0
2019-05-02,Ipespe,CATI,0.36,0.26,0.34,1000.0,3.2
2019-05-02,IDEIA Big Data,Internet,0.33,0.35,0.32,1000.0,3.0
2019-05-16,IDEIA Big Data,Internet,0.34,0.34,0.32,1000.0,3.0
