mean;sd;hdi_3%;hdi_97%;mcse_mean;mcse_sd;ess_bulk;ess_tail;r_hat
-0.66;0.09;-0.83;-0.49;0.0;0.0;5019.76;5623.56;1.0
0.1;0.1;-0.1;0.29;0.0;0.0;14417.52;6263.22;1.0
0.22;0.1;0.02;0.41;0.0;0.0;15589.05;6349.16;1.0
-0.29;0.1;-0.49;-0.1;0.0;0.0;16141.98;6295.26;1.0
0.31;0.1;0.13;0.52;0.0;0.0;14615.49;6241.23;1.0
-0.24;0.1;-0.43;-0.03;0.0;0.0;15563.78;6155.52;1.0
0.31;0.1;0.12;0.5;0.0;0.0;14467.96;5623.54;1.0
0.16;0.1;-0.03;0.35;0.0;0.0;17223.12;5668.92;1.0
0.22;0.1;0.01;0.4;0.0;0.0;15527.35;6435.01;1.0
-0.39;0.1;-0.56;-0.2;0.0;0.0;12194.56;5908.66;1.0
-0.65;0.1;-0.84;-0.45;0.0;0.0;12150.35;6131.58;1.0
0.25;0.08;0.1;0.4;0.0;0.0;12673.97;6307.54;1.0
-0.14;0.05;-0.24;-0.04;0.0;0.0;8654.62;5786.56;1.0
0.22;0.13;-0.03;0.46;0.0;0.0;18205.36;5678.71;1.0
0.0;0.12;-0.23;0.23;0.0;0.0;17295.31;6126.85;1.0
0.08;0.07;-0.06;0.22;0.0;0.0;19445.85;5837.09;1.0
-0.02;0.04;-0.09;0.05;0.0;0.0;6746.3;6488.77;1.0
0.05;0.12;-0.18;0.28;0.0;0.0;20305.38;5855.78;1.0
-0.09;0.07;-0.21;0.04;0.0;0.0;16598.43;5867.63;1.0
0.04;0.04;-0.03;0.11;0.0;0.0;14920.95;7064.7;1.0
-0.06;0.12;-0.28;0.17;0.0;0.0;17981.56;5644.3;1.0
-0.12;0.11;-0.33;0.08;0.0;0.0;18779.82;5365.03;1.0
0.01;0.04;-0.06;0.07;0.0;0.0;6592.24;6607.37;1.0
0.07;0.08;-0.08;0.2;0.0;0.0;21065.71;5549.1;1.0
0.1;0.07;-0.03;0.23;0.0;0.0;18531.31;5964.57;1.0
-0.02;0.13;-0.26;0.21;0.0;0.0;20598.82;5755.73;1.0
-0.09;0.09;-0.26;0.08;0.0;0.0;17852.01;5638.75;1.0
0.01;0.04;-0.06;0.09;0.0;0.0;16974.37;6653.35;1.0
-0.46;0.07;-0.59;-0.33;0.0;0.0;13294.7;6032.22;1.0
0.07;0.12;-0.15;0.3;0.0;0.0;21304.33;5813.56;1.0
-0.05;0.05;-0.14;0.04;0.0;0.0;10387.17;6827.68;1.0
0.08;0.08;-0.07;0.22;0.0;0.0;18936.74;5876.29;1.0
0.21;0.1;0.03;0.39;0.0;0.0;16796.76;5531.2;1.0
0.2;0.06;0.1;0.31;0.0;0.0;16861.36;5582.12;1.0
-0.1;0.09;-0.27;0.07;0.0;0.0;19732.62;5974.51;1.0
