data_fim;empresa;observado;previsto;diff
1995-01-15;Projeção;9.0;11.4;-2.4
1995-02-07;Sensus;9.0;10.5;-1.5
1995-02-07;Vox Populi;9.0;13.2;-4.2
1995-03-13;Sensus;11.0;12.1;-1.1
1995-03-13;Vox Populi;11.0;15.2;-4.2
1995-03-15;Datafolha;16.0;12.2;3.8
1995-03-16;Ibope;12.0;13.0;-1.0
1995-04-07;Vox Populi;17.0;15.7;1.3
1995-05-16;Ibope;14.0;14.8;-0.8
1995-05-23;Vox Populi;17.0;17.3;-0.3
1995-06-15;Datafolha;17.0;14.4;2.6
1995-06-20;Vox Populi;17.0;17.7;-0.7
1995-07-16;Ibope;16.0;14.6;1.4
1995-07-24;Vox Populi;14.0;17.1;-3.1
1995-08-29;Vox Populi;17.0;17.6;-0.6
1995-09-15;Datafolha;15.0;14.8;0.2
1995-09-16;Ibope;15.0;15.8;-0.8
1995-11-16;Ibope;15.0;16.4;-1.4
1995-12-15;Datafolha;15.0;16.2;-1.2
1996-02-16;Ibope;17.0;18.5;-1.5
1996-05-14;Vox Populi;26.0;22.7;3.3
1996-06-15;Datafolha;25.0;19.8;5.2
1996-08-16;Ibope;19.0;18.0;1.0
1996-09-15;Datafolha;17.0;16.5;0.5
1996-12-15;Datafolha;12.0;15.3;-3.3
1996-12-16;Ibope;16.0;16.3;-0.3
1997-03-05;Vox Populi;16.0;20.4;-4.4
1997-03-16;Ibope;14.0;17.6;-3.6
1997-05-15;Datafolha;18.0;18.4;-0.4
1997-05-16;Ibope;26.0;19.4;6.6
1997-06-15;Datafolha;16.0;17.5;-1.5
1997-08-16;Ibope;24.0;19.1;4.9
1997-09-09;Vox Populi;20.0;20.5;-0.5
1997-09-15;Datafolha;15.0;16.7;-1.7
1997-10-16;Ibope;17.0;18.0;-1.0
1997-12-09;Vox Populi;19.0;21.7;-2.7
1997-12-15;Datafolha;20.0;17.6;2.4
1998-01-16;Ibope;16.0;18.9;-2.9
1998-01-29;Vox Populi;21.0;21.9;-0.9
1998-03-15;Datafolha;21.0;19.3;1.7
1998-03-16;Ibope;21.0;20.4;0.6
1998-04-06;Vox Populi;23.0;24.8;-1.8
1998-04-15;Datafolha;21.0;20.5;0.5
1998-05-15;Datafolha;24.0;22.4;1.6
1998-05-16;Ibope;26.0;23.8;2.2
1998-05-16;Vox Populi;26.0;27.1;-1.1
1998-06-15;Datafolha;25.0;21.1;3.9
1998-06-16;Vox Populi;27.0;25.6;1.4
1998-07-15;Datafolha;19.0;18.7;0.3
1998-07-16;Ibope;17.0;19.8;-2.8
1998-07-21;Vox Populi;22.0;22.9;-0.9
1998-08-11;Vox Populi;18.0;21.5;-3.5
1998-08-15;Datafolha;18.0;17.5;0.5
1998-09-15;Datafolha;17.0;17.0;0.0
1998-09-16;Vox Populi;17.0;20.8;-3.8
1998-12-15;Datafolha;25.0;19.5;5.5
1998-12-20;Vox Populi;23.0;23.8;-0.8
1999-01-23;Vox Populi;33.0;25.6;7.4
1999-02-15;Datafolha;36.0;29.1;6.9
1999-03-01;Vox Populi;47.0;43.4;3.6
1999-03-16;Ibope;41.0;39.0;2.0
1999-03-29;Vox Populi;43.0;43.3;-0.3
1999-04-24;Vox Populi;46.0;45.2;0.8
1999-05-16;Ibope;44.0;45.2;-1.2
1999-05-23;Vox Populi;51.0;49.8;1.2
1999-06-15;Datafolha;44.0;45.5;-1.5
1999-07-05;Vox Populi;53.0;54.3;-1.3
1999-07-16;Ibope;52.0;49.8;2.2
1999-08-10;Vox Populi;59.0;57.3;1.7
1999-09-06;Vox Populi;65.0;59.5;5.5
1999-09-15;Datafolha;56.0;53.4;2.6
1999-09-16;Ibope;51.0;55.0;-4.0
1999-10-10;Vox Populi;62.0;58.9;3.1
1999-11-09;Vox Populi;59.0;56.1;2.9
1999-11-16;Ibope;48.0;51.8;-3.8
1999-12-14;Vox Populi;59.0;54.0;5.0
1999-12-15;Datafolha;46.0;47.7;-1.7
2000-01-18;Vox Populi;43.0;48.8;-5.8
2000-02-16;Ibope;39.0;44.2;-5.2
2000-02-21;Vox Populi;49.0;48.6;0.4
2000-03-15;Datafolha;43.0;42.1;0.9
2000-03-20;Vox Populi;51.0;48.2;2.8
2000-04-27;Vox Populi;51.0;50.1;0.9
2000-05-16;Ibope;45.0;45.9;-0.9
2000-05-23;Vox Populi;53.0;50.4;2.6
2000-06-15;Datafolha;41.0;45.8;-4.8
2000-06-26;Vox Populi;59.0;52.0;7.0
2000-07-31;Vox Populi;44.0;47.7;-3.7
2000-08-16;Ibope;39.0;40.4;-1.4
2000-09-08;Sensus;39.3;38.0;1.3
2000-10-05;Sensus;38.0;36.8;1.2
2000-10-15;Datafolha;38.0;37.2;0.8
2000-11-09;Sensus;35.7;35.6;0.1
2000-12-15;Datafolha;35.0;34.9;0.1
2000-12-15;Sensus;38.0;34.6;3.4
2000-12-16;Ibope;34.0;36.6;-2.6
2001-01-19;Sensus;30.6;32.3;-1.7
2001-02-16;Sensus;29.5;30.4;-0.9
2001-03-15;Datafolha;30.0;30.5;-0.5
2001-03-22;Sensus;26.6;30.2;-3.6
2001-04-19;Sensus;27.9;32.4;-4.5
2001-05-16;Ibope;31.0;36.6;-5.6
2001-05-24;Sensus;37.1;34.6;2.5
2001-06-15;Datafolha;42.0;40.5;1.5
2001-06-18;Ibope;45.0;42.2;2.8
2001-06-21;Sensus;44.5;40.1;4.4
2001-07-26;Sensus;43.6;40.5;3.1
2001-08-23;Sensus;40.0;38.1;1.9
2001-09-15;Datafolha;36.0;37.7;-1.7
2001-09-17;Ibope;36.0;39.5;-3.5
2001-09-20;Sensus;39.4;37.5;1.9
2001-10-31;Sensus;36.4;36.1;0.3
2001-11-15;Datafolha;36.0;36.2;-0.2
2001-12-01;Ibope;37.0;36.0;1.0
2001-12-11;Sensus;35.2;34.1;1.1
2001-12-15;Datafolha;35.0;34.5;0.5
2002-01-24;Sensus;30.5;32.2;-1.7
2002-02-21;Datafolha;29.0;30.0;-1.0
2002-02-21;Sensus;28.8;29.7;-0.9
2002-03-12;Datafolha;28.0;29.1;-1.1
2002-03-18;Ibope;31.0;30.6;0.4
2002-03-21;Sensus;29.1;28.9;0.2
2002-04-09;Datafolha;29.0;30.6;-1.6
2002-04-25;Sensus;32.6;30.4;2.2
2002-05-14;Datafolha;29.0;29.2;-0.2
2002-05-16;Ibope;29.0;30.6;-1.6
2002-05-23;Sensus;29.5;28.8;0.7
2002-06-07;Datafolha;28.0;28.2;-0.2
2002-06-20;Sensus;26.0;28.1;-2.1
2002-07-05;Datafolha;26.0;29.8;-3.8
2002-07-15;Datafolha;34.0;29.9;4.1
2002-07-23;Ibope;30.0;31.3;-1.3
2002-08-15;Sensus;29.6;31.2;-1.6
2002-08-16;Datafolha;32.0;31.4;0.6
2002-08-30;Datafolha;32.0;31.5;0.5
2002-09-09;Datafolha;34.0;33.9;0.1
2002-09-15;Sensus;33.8;33.6;0.2
2002-09-20;Datafolha;34.0;33.9;0.1
2002-09-27;Datafolha;35.0;33.9;1.1
2002-10-11;Datafolha;32.0;33.1;-1.1
2002-10-15;Sensus;34.4;32.8;1.6
2002-10-18;Datafolha;32.0;33.1;-1.1
2002-12-15;Datafolha;36.0;34.8;1.2
2003-01-23;Sensus;2.3;9.6;-7.3
2003-03-08;Sensus;7.9;8.8;-0.9
2003-03-23;Ibope;7.0;9.5;-2.5
2003-04-04;Ibope;8.0;10.4;-2.4
2003-04-14;Datafolha;10.0;9.7;0.3
2003-04-19;Sensus;9.4;9.6;-0.2
2003-05-30;Sensus;7.2;9.4;-2.2
2003-06-23;Ibope;11.0;11.4;-0.4
2003-06-25;Datafolha;11.0;10.7;0.3
2003-07-11;Sensus;10.3;10.8;-0.5
2003-08-22;Datafolha;10.0;11.2;-1.2
2003-08-22;Sensus;10.0;11.0;-1.0
2003-09-22;Ibope;14.0;13.1;0.9
