data_fim;empresa;observado;previsto;diff
1985-04-10;Datafolha;35.3;40.1;-4.8
1985-06-18;Datafolha;45.2;46.3;-1.1
1986-01-15;Projeção;70.0;60.0;10.0
1986-03-15;Datafolha;71.0;55.1;15.9
1986-11-21;Datafolha;34.0;37.4;-3.4
1987-03-15;Datafolha;33.0;28.6;4.4
1987-05-15;Datafolha;9.0;16.8;-7.8
1987-11-15;Datafolha;11.0;13.2;-2.2
1988-03-15;Datafolha;10.0;11.0;-1.0
1988-10-15;Datafolha;7.0;9.7;-2.7
1988-12-15;Datafolha;8.0;8.8;-0.8
1989-03-15;Datafolha;7.0;8.3;-1.3
1989-04-15;Datafolha;10.0;8.8;1.2
1989-09-15;Datafolha;5.0;7.6;-2.6
1989-11-15;Datafolha;9.0;8.6;0.4
1990-01-15;Datafolha;7.0;8.5;-1.5
1990-02-28;Datafolha;9.0;8.8;0.2
1990-03-01;Datafolha;9.0;8.5;0.5
1990-03-15;Ibope;59.0;43.9;15.1
1990-06-15;Datafolha;36.0;37.4;-1.4
1990-09-15;Datafolha;34.0;33.4;0.6
1990-12-15;Ibope;30.0;31.1;-1.1
1991-02-15;Ibope;27.0;25.7;1.3
1991-03-15;Datafolha;23.0;22.9;0.1
1991-08-15;Datafolha;18.0;18.7;-0.7
1992-02-15;Ibope;14.0;16.6;-2.6
1992-03-15;Datafolha;15.0;15.2;-0.2
1992-05-15;Ibope;17.0;15.1;1.9
1992-08-15;Datafolha;9.0;12.7;-3.7
1992-09-15;Datafolha;18.0;31.2;-13.2
1992-12-15;Datafolha;34.0;31.2;2.8
1993-02-15;Datafolha;36.0;29.3;6.7
1993-03-01;Datafolha;24.0;24.3;-0.3
1993-03-25;Datafolha;21.0;24.4;-3.4
1993-04-15;Datafolha;17.0;19.3;-2.3
1993-05-15;Datafolha;19.0;19.3;-0.3
1993-06-15;Datafolha;17.0;17.2;-0.2
1993-08-15;Datafolha;15.0;16.0;-1.0
1993-11-15;Datafolha;12.0;15.6;-3.6
1993-12-15;Datafolha;18.0;17.6;0.4
1994-03-15;Datafolha;15.0;18.1;-3.1
1994-04-15;Datafolha;16.0;21.2;-5.2
1994-08-15;Datafolha;37.0;30.2;6.8
1994-09-15;Datafolha;32.0;31.7;0.3
1994-10-15;Datafolha;40.0;37.8;2.2
1994-12-14;Datafolha;41.0;39.2;1.8
1995-01-15;Projeção;57.0;51.1;5.9
1995-02-07;Sensus;57.0;51.8;5.2
1995-02-07;Vox Populi;57.0;47.0;10.0
1995-03-13;Sensus;43.0;44.4;-1.4
1995-03-13;Vox Populi;43.0;39.7;3.3
1995-03-15;Datafolha;39.0;43.9;-4.9
1995-03-16;Ibope;41.0;44.5;-3.5
1995-04-07;Vox Populi;39.0;39.8;-0.8
1995-05-16;Ibope;39.0;41.3;-2.3
1995-05-23;Vox Populi;37.0;36.4;0.6
1995-06-15;Datafolha;40.0;42.9;-2.9
1995-06-20;Vox Populi;41.0;38.9;2.1
1995-07-16;Ibope;42.0;43.4;-1.4
1995-07-24;Vox Populi;42.0;38.6;3.4
1995-08-29;Vox Populi;39.0;37.9;1.1
1995-09-15;Datafolha;42.0;41.1;0.9
1995-09-16;Ibope;40.0;41.7;-1.7
1995-11-16;Ibope;43.0;42.3;0.7
1995-12-15;Datafolha;41.0;39.7;1.3
1996-02-16;Ibope;41.0;38.0;3.0
1996-05-14;Vox Populi;26.0;31.4;-5.4
1996-06-15;Datafolha;30.0;33.4;-3.4
1996-08-16;Ibope;38.0;39.3;-1.3
1996-09-15;Datafolha;43.0;42.4;0.6
1996-12-15;Datafolha;47.0;45.1;1.9
1996-12-16;Ibope;46.0;45.8;0.2
1997-03-05;Vox Populi;42.0;40.9;1.1
1997-03-16;Ibope;51.0;45.7;5.3
1997-05-15;Datafolha;42.0;39.3;2.7
1997-05-16;Ibope;34.0;39.9;-5.9
1997-06-15;Datafolha;39.0;40.2;-1.2
1997-08-16;Ibope;38.0;39.8;-1.8
1997-09-09;Vox Populi;36.0;37.1;-1.1
1997-09-15;Datafolha;43.0;41.2;1.8
1997-10-16;Ibope;43.0;41.9;1.1
1997-12-09;Vox Populi;38.0;35.9;2.1
1997-12-15;Datafolha;37.0;39.7;-2.7
1998-01-16;Ibope;42.0;39.5;2.5
1998-01-29;Vox Populi;33.0;34.9;-1.9
1998-03-15;Datafolha;38.0;37.5;0.5
1998-03-16;Ibope;39.0;38.2;0.8
1998-04-06;Vox Populi;31.0;31.7;-0.7
1998-04-15;Datafolha;35.0;35.5;-0.5
1998-05-15;Datafolha;31.0;33.0;-2.0
1998-05-16;Ibope;33.0;33.6;-0.6
1998-05-16;Vox Populi;29.0;29.3;-0.3
1998-06-15;Datafolha;31.0;34.4;-3.4
1998-06-16;Vox Populi;31.0;30.7;0.3
1998-07-15;Datafolha;38.0;39.0;-1.0
1998-07-16;Ibope;41.0;39.7;1.3
1998-07-21;Vox Populi;36.0;35.2;0.8
1998-08-11;Vox Populi;40.0;37.5;2.5
1998-08-15;Datafolha;40.0;41.4;-1.4
1998-09-15;Datafolha;43.0;43.4;-0.4
1998-09-16;Vox Populi;45.0;39.3;5.7
1998-12-15;Datafolha;35.0;37.7;-2.7
1998-12-20;Vox Populi;32.0;34.0;-2.0
1999-01-23;Vox Populi;27.0;29.0;-2.0
1999-02-15;Datafolha;21.0;25.1;-4.1
1999-03-01;Vox Populi;19.0;18.7;0.3
1999-03-16;Ibope;22.0;21.9;0.1
1999-03-29;Vox Populi;16.0;18.8;-2.8
1999-04-24;Vox Populi;17.0;17.8;-0.8
1999-05-16;Ibope;18.0;17.7;0.3
1999-05-23;Vox Populi;15.0;15.0;0.0
1999-06-15;Datafolha;16.0;16.9;-0.9
1999-07-05;Vox Populi;12.0;13.0;-1.0
1999-07-16;Ibope;16.0;15.5;0.5
1999-08-10;Vox Populi;12.0;12.1;-0.1
1999-09-06;Vox Populi;8.0;11.4;-3.4
1999-09-15;Datafolha;13.0;13.3;-0.3
1999-09-16;Ibope;16.0;13.6;2.4
1999-10-10;Vox Populi;8.0;11.6;-3.6
1999-11-09;Vox Populi;11.0;12.5;-1.5
1999-11-16;Ibope;17.0;14.7;2.3
1999-12-14;Vox Populi;12.0;13.3;-1.3
1999-12-15;Datafolha;16.0;15.3;0.7
2000-01-18;Vox Populi;16.0;15.5;0.5
2000-02-16;Ibope;20.0;18.0;2.0
2000-02-21;Vox Populi;16.0;15.3;0.7
2000-03-15;Datafolha;18.0;18.7;-0.7
2000-03-20;Vox Populi;16.0;16.3;-0.3
2000-04-27;Vox Populi;14.0;15.9;-1.9
2000-05-16;Ibope;20.0;19.0;1.0
2000-05-23;Vox Populi;15.0;16.1;-1.1
2000-06-15;Datafolha;19.0;18.1;0.9
2000-06-26;Vox Populi;13.0;15.7;-2.7
2000-07-31;Vox Populi;19.0;16.3;2.7
2000-08-16;Ibope;20.0;20.7;-0.7
2000-09-08;Sensus;18.8;20.6;-1.8
2000-10-05;Sensus;23.4;22.5;0.9
2000-10-15;Datafolha;23.0;22.0;1.0
2000-11-09;Sensus;19.1;22.4;-3.3
2000-12-15;Datafolha;24.0;23.5;0.5
2000-12-15;Sensus;23.0;24.1;-1.1
2000-12-16;Ibope;25.0;24.2;0.8
2001-01-19;Sensus;25.4;25.3;0.1
2001-02-16;Sensus;26.2;26.5;-0.3
2001-03-15;Datafolha;26.0;27.8;-1.8
2001-03-22;Sensus;33.3;28.2;5.1
2001-04-19;Sensus;29.7;26.0;3.7
2001-05-16;Ibope;26.0;23.5;2.5
2001-05-24;Sensus;22.1;23.4;-1.3
2001-06-15;Datafolha;19.0;20.4;-1.4
2001-06-18;Ibope;19.0;20.8;-1.8
2001-06-21;Sensus;17.7;20.9;-3.2
2001-07-26;Sensus;19.8;21.1;-1.3
2001-08-23;Sensus;21.7;22.5;-0.8
2001-09-15;Datafolha;22.0;21.5;0.5
2001-09-17;Ibope;22.0;22.0;0.0
2001-09-20;Sensus;21.7;21.9;-0.2
2001-10-31;Sensus;22.0;22.8;-0.8
2001-11-15;Datafolha;24.0;22.6;1.4
2001-12-01;Ibope;21.0;23.9;-2.9
2001-12-11;Sensus;22.9;23.8;-0.9
2001-12-15;Datafolha;24.0;23.3;0.7
2002-01-24;Sensus;26.7;26.2;0.5
2002-02-21;Datafolha;31.0;27.9;3.1
2002-02-21;Sensus;27.4;28.4;-1.0
2002-03-12;Datafolha;29.0;28.3;0.7
2002-03-18;Ibope;28.0;28.9;-0.9
2002-03-21;Sensus;28.1;28.7;-0.6
2002-04-09;Datafolha;28.0;26.9;1.1
2002-04-25;Sensus;25.6;27.4;-1.8
2002-05-14;Datafolha;27.0;27.8;-0.8
2002-05-16;Ibope;29.0;28.3;0.7
2002-05-23;Sensus;28.2;28.3;-0.1
2002-06-07;Datafolha;31.0;29.2;1.8
2002-06-20;Sensus;29.8;29.7;0.1
2002-07-05;Datafolha;31.0;27.2;3.8
2002-07-15;Datafolha;25.0;27.2;-2.2
2002-07-23;Ibope;26.0;27.7;-1.7
2002-08-15;Sensus;27.6;26.4;1.2
2002-08-16;Datafolha;24.0;25.9;-1.9
2002-08-30;Datafolha;26.0;25.9;0.1
2002-09-09;Datafolha;26.0;24.7;1.3
2002-09-15;Sensus;25.2;25.0;0.2
2002-09-20;Datafolha;23.0;24.5;-1.5
2002-09-27;Datafolha;23.0;24.7;-1.7
2002-10-11;Datafolha;23.0;24.7;-1.7
2002-10-15;Sensus;24.3;25.1;-0.8
2002-10-18;Datafolha;26.0;24.7;1.3
2002-12-15;Datafolha;26.0;25.6;0.4
2003-01-23;Sensus;56.6;46.0;10.6
2003-03-08;Sensus;45.0;46.9;-1.9
2003-03-23;Ibope;51.0;47.1;3.9
2003-04-04;Ibope;48.0;46.8;1.2
2003-04-14;Datafolha;43.0;46.1;-3.1
2003-04-19;Sensus;47.7;46.7;1.0
2003-05-30;Sensus;51.6;48.7;2.9
2003-06-23;Ibope;43.0;44.2;-1.2
2003-06-25;Datafolha;42.0;43.5;-1.5
2003-07-11;Sensus;46.3;46.2;0.1
2003-08-22;Datafolha;45.0;44.9;0.1
2003-08-22;Sensus;48.3;45.5;2.8
2003-09-22;Ibope;43.0;43.3;-0.3
2003-10-17;Sensus;41.6;42.0;-0.4
2003-10-29;Datafolha;42.0;41.3;0.7
2003-12-04;Sensus;41.0;41.3;-0.3
2003-12-08;Ibope;41.0;41.3;-0.3
2003-12-15;Datafolha;42.0;40.6;1.4
2004-02-06;Sensus;39.9;38.2;1.7
2004-03-01;Datafolha;38.0;33.9;4.1
2004-03-25;Ibope;34.0;34.6;-0.6
2004-03-26;Sensus;34.6;34.4;0.2
2004-03-31;Ibope;28.0;34.5;-6.5
2004-05-09;Sensus;34.6;34.9;-0.3
2004-06-17;Sensus;29.4;31.8;-2.4
2004-06-21;Ibope;29.0;31.9;-2.9
2004-08-04;Sensus;38.2;37.0;1.2
2004-08-19;Datafolha;35.0;36.3;-1.3
2004-09-14;Ibope;38.0;39.7;-1.7
2004-09-23;Sensus;41.3;39.6;1.7
2004-11-29;Ibope;41.0;41.6;-0.6
2004-12-04;Sensus;44.5;43.1;1.4
2004-12-17;Datafolha;45.0;42.4;2.6
2005-02-15;Sensus;42.5;41.0;1.5
2005-04-14;Sensus;41.9;41.5;0.4
2005-05-14;Ibope;39.0;38.9;0.1
2005-05-27;Sensus;39.8;38.7;1.1
2005-06-01;Datafolha;35.0;36.1;-1.1
2005-06-06;Ibope;37.0;36.8;0.2
2005-06-13;Ibope;35.0;36.8;-1.8
2005-06-16;Datafolha;36.0;36.0;0.0
2005-06-18;Ibope;36.0;36.8;-0.8
2005-07-07;Sensus;40.3;36.0;4.3
2005-07-21;Datafolha;35.0;35.4;-0.4
2005-08-10;Datafolha;31.0;31.1;-0.1
2005-08-17;Ibope;29.0;31.7;-2.7
2005-08-22;Ibope;29.0;31.7;-2.7
2005-09-08;Sensus;35.8;31.5;4.3
2005-09-12;Ibope;29.0;31.6;-2.6
2005-10-13;Ibope;30.0;30.5;-0.5
2005-10-21;Datafolha;28.0;29.7;-1.7
2005-11-17;Sensus;31.1;31.0;0.1
2005-12-07;Ibope;29.0;30.0;-1.0
2005-12-14;Datafolha;28.0;29.4;-1.4
2006-01-16;Ibope;33.0;33.0;0.0
2006-02-02;Datafolha;36.0;36.0;0.0
2006-02-09;Sensus;37.5;36.7;0.8
2006-02-21;Datafolha;37.0;36.1;0.9
2006-03-11;Ibope;38.0;37.8;0.2
2006-03-17;Datafolha;38.0;37.1;0.9
2006-04-06;Sensus;37.6;38.9;-1.3
2006-04-07;Datafolha;37.0;38.4;-1.4
2006-05-12;Ibope;38.0;38.9;-0.9
2006-05-21;Sensus;38.3;38.7;-0.4
2006-05-24;Datafolha;39.0;38.2;0.8
2006-06-07;Ibope;44.0;41.6;2.4
2006-07-06;Sensus;41.0;40.5;0.5
2006-07-18;Datafolha;38.0;40.0;-2.0
2006-07-24;Ibope;39.0;40.6;-1.6
2006-07-31;Ibope;40.0;40.5;-0.5
2006-08-04;Sensus;43.6;44.5;-0.9
2006-08-08;Datafolha;45.0;44.0;1.0
2006-08-09;Ibope;41.0;44.7;-3.7
2006-08-17;Ibope;41.0;44.7;-3.7
2006-08-22;Datafolha;52.0;44.0;8.0
2006-08-25;Ibope;44.0;44.7;-0.7
2006-08-29;Datafolha;48.0;44.0;4.0
2006-08-31;Ibope;43.0;44.8;-1.8
2006-09-05;Datafolha;48.0;45.8;2.2
2006-09-07;Ibope;46.0;46.6;-0.6
2006-09-11;Ibope;49.0;46.6;2.4
2006-09-12;Datafolha;46.0;45.8;0.2
2006-09-19;Datafolha;48.0;45.8;2.2
2006-09-20;Ibope;43.0;46.5;-3.5
2006-09-22;Datafolha;46.0;45.7;0.3
2006-09-22;Ibope;43.0;46.5;-3.5
2006-09-26;Ibope;44.0;46.6;-2.6
2006-09-27;Datafolha;47.0;45.8;1.2
2006-10-06;Datafolha;49.0;49.4;-0.4
2006-10-10;Datafolha;49.0;49.5;-0.5
2006-10-11;Ibope;45.0;50.1;-5.1
2006-10-17;Datafolha;51.0;49.5;1.5
2006-10-19;Ibope;50.0;50.2;-0.2
2006-10-24;Datafolha;53.0;49.5;3.5
2006-10-25;Ibope;51.0;50.2;0.8
2006-12-10;Ibope;57.0;53.2;3.8
2006-12-13;Datafolha;52.0;52.5;-0.5
2007-01-15;Projeção;48.0;47.3;0.7
2007-03-20;Datafolha;48.0;45.7;2.3
2007-04-02;Ibope;49.0;48.6;0.4
2007-04-06;Sensus;49.5;48.6;0.9
2007-04-11;MDA;49.5;47.2;2.3
2007-06-22;Sensus;47.5;49.5;-2.0
2007-07-01;Ibope;50.0;47.9;2.1
2007-08-02;Datafolha;48.0;48.6;-0.6
2007-09-18;Ibope;48.0;48.0;0.0
2007-10-12;Sensus;46.5;47.9;-1.4
2007-11-29;Datafolha;50.0;49.4;0.6
2007-12-05;Ibope;51.0;52.1;-1.1
2008-02-16;Sensus;52.7;53.3;-0.6
2008-03-12;Ibope;58.0;56.2;1.8
2008-03-23;Ibope;58.0;56.3;1.7
2008-03-27;Datafolha;55.0;55.6;-0.6
2008-04-25;Sensus;57.5;59.2;-1.7
2008-06-10;Ibope;58.0;59.6;-1.6
2008-06-23;Ibope;58.0;59.5;-1.5
2008-09-10;Ibope;69.0;67.2;1.8
2008-09-11;Datafolha;64.0;66.5;-2.5
2008-09-19;Sensus;68.8;67.1;1.7
2008-09-22;Ibope;69.0;67.3;1.7
2008-11-28;Datafolha;70.0;69.2;0.8
2008-12-08;Ibope;73.0;71.4;1.6
2008-12-12;Sensus;71.1;71.4;-0.3
2008-12-15;Ibope;73.0;71.4;1.6
2009-01-30;Sensus;72.5;70.4;2.1
2009-03-10;Ibope;75.0;67.9;7.1
2009-03-15;Ibope;64.0;67.9;-3.9
2009-03-19;Datafolha;65.0;67.4;-2.4
2009-03-27;Sensus;62.4;67.9;-5.5
2009-04-18;Ibope;76.0;72.2;3.8
2009-05-28;Datafolha;69.0;70.5;-1.5
2009-05-29;Sensus;69.8;71.0;-1.2
2009-06-01;Ibope;68.0;73.7;-5.7
2009-06-03;Ibope;76.0;73.6;2.4
2009-06-21;Ibope;75.0;73.7;1.3
2009-06-30;Ibope;76.0;73.6;2.4
2009-07-29;Ibope;77.0;75.0;2.0
2009-08-13;Datafolha;67.0;73.9;-6.9
2009-08-15;Ibope;78.0;74.5;3.5
2009-08-26;Ibope;78.0;74.5;3.5
2009-09-02;Ibope;77.0;74.2;2.8
2009-09-04;Sensus;65.4;74.1;-8.7
2009-09-14;Ibope;69.0;74.3;-5.3
2009-09-16;Ibope;79.0;74.3;4.7
2009-09-23;Ibope;80.0;74.2;5.8
2009-09-27;Ibope;77.0;74.2;2.8
2009-11-20;Sensus;70.0;72.2;-2.2
2009-11-30;Ibope;72.0;72.3;-0.3
2009-12-18;Datafolha;72.0;72.2;-0.2
2010-01-29;Sensus;71.4;71.6;-0.2
2010-02-25;Datafolha;73.0;72.6;0.4
2010-03-26;Datafolha;76.0;74.5;1.5
2010-04-16;Datafolha;73.0;74.5;-1.5
2010-05-14;Sensus;76.1;76.8;-0.7
2010-05-21;Datafolha;76.0;76.3;-0.3
2010-07-01;Datafolha;78.0;76.6;1.4
2010-07-23;Datafolha;77.0;76.5;0.5
2010-08-02;Sensus;77.5;78.2;-0.7
2010-08-12;Datafolha;77.0;77.7;-0.7
2010-08-24;Datafolha;79.0;77.7;1.3
2010-09-09;Datafolha;77.0;78.0;-1.0
2010-09-12;Sensus;78.4;78.5;-0.1
2010-09-15;Datafolha;78.0;78.0;0.0
2010-09-22;Datafolha;78.0;78.0;0.0
2010-09-28;Sensus;79.4;78.5;0.9
2010-10-08;Datafolha;78.0;80.4;-2.4
2010-10-15;Datafolha;81.0;80.4;0.6
2010-10-21;Datafolha;82.0;80.5;1.5
2010-10-26;Datafolha;83.0;80.5;2.5
2010-11-19;Datafolha;83.0;81.7;1.3
2010-12-27;Sensus;83.4;82.8;0.6
2011-01-15;Projeção;51.0;48.9;2.1
2011-03-16;Datafolha;47.0;48.1;-1.1
2011-03-23;Ibope;56.0;48.8;7.2
2011-06-10;Datafolha;49.0;48.2;0.8
2011-07-31;Ibope;48.0;50.1;-2.1
2011-08-04;Datafolha;48.0;48.3;-0.3
2011-08-12;CNT;49.2;49.0;0.2
2011-08-12;Sensus;49.2;48.9;0.3
2011-09-20;Ibope;51.0;52.7;-1.7
2011-12-05;Ibope;56.0;54.8;1.2
2012-01-19;Datafolha;59.0;56.2;2.8
2012-03-19;Ibope;56.0;57.8;-1.8
2012-04-19;Datafolha;64.0;60.3;3.7
2012-06-19;Ibope;59.0;59.5;-0.5
2012-07-26;MDA;56.6;57.6;-1.0
2012-08-09;Datafolha;62.0;61.3;0.7
2012-09-21;Ibope;62.0;60.2;1.8
2012-12-09;Ibope;62.0;61.9;0.1
2012-12-13;Datafolha;62.0;61.2;0.8
2013-03-11;Ibope;63.0;59.8;3.2
2013-03-21;Datafolha;65.0;59.2;5.8
2013-06-05;MDA;54.2;48.1;6.1
2013-06-07;Datafolha;57.0;48.7;8.3
2013-06-11;Ibope;55.0;49.4;5.6
2013-06-28;Datafolha;30.0;48.7;-18.7
2013-07-10;MDA;31.3;36.5;-5.2
2013-07-12;Ibope;31.0;37.6;-6.6
2013-08-09;Datafolha;36.0;35.9;0.1
2013-09-04;MDA;38.1;37.4;0.7
2013-09-17;Ibope;37.0;38.8;-1.8
2013-10-11;Datafolha;38.0;38.2;-0.2
2013-11-04;MDA;39.0;39.4;-0.4
2013-11-29;Datafolha;41.0;40.1;0.9
2013-12-02;Ibope;43.0;41.2;1.8
2014-02-14;MDA;36.4;38.0;-1.6
2014-02-20;Datafolha;41.0;38.5;2.5
2014-03-17;Ibope;36.0;37.0;-1.0
2014-04-03;Datafolha;36.0;34.7;1.3
2014-04-14;Ibope;34.0;35.4;-1.4
2014-04-25;MDA;32.9;34.1;-1.2
2014-05-08;Datafolha;35.0;34.5;0.5
2014-05-19;Ibope;35.0;35.1;-0.1
2014-06-05;Datafolha;33.0;31.8;1.2
2014-06-07;Ibope;31.0;32.5;-1.5
2014-06-15;Ibope;31.0;32.5;-1.5
2014-07-02;Datafolha;35.0;32.5;2.5
2014-07-16;Datafolha;32.0;32.5;-0.5
2014-07-21;Ibope;31.0;33.2;-2.2
2014-08-06;Ibope;32.0;35.3;-3.3
2014-08-12;MDA;33.2;34.0;-0.8
2014-08-15;Datafolha;38.0;34.6;3.4
2014-08-24;MDA;33.1;34.1;-1.0
2014-08-25;Ibope;34.0;35.2;-1.2
2014-08-29;Datafolha;35.0;34.6;0.4
2014-09-02;Ibope;36.0;37.8;-1.8
2014-09-03;Datafolha;36.0;37.1;-1.1
2014-09-04;Sensus;30.5;37.6;-7.1
2014-09-07;MDA;37.5;36.4;1.1
2014-09-08;Ibope;38.0;37.7;0.3
2014-09-09;Datafolha;36.0;37.1;-1.1
2014-09-15;Ibope;37.0;37.8;-0.8
2014-09-18;Datafolha;37.0;37.1;-0.1
2014-09-21;MDA;37.4;36.5;0.9
2014-09-22;Ibope;39.0;37.7;1.3
2014-09-26;Datafolha;37.0;37.2;-0.2
2014-09-28;MDA;41.0;36.4;4.6
2014-09-29;Ibope;38.0;37.7;0.3
2014-09-30;Datafolha;39.0;37.1;1.9
2014-10-01;Ibope;39.0;42.1;-3.1
2014-10-02;Datafolha;39.0;41.2;-2.2
2014-10-04;Ibope;40.0;42.2;-2.2
2014-10-08;Ibope;39.0;42.1;-3.1
2014-10-09;Datafolha;39.0;41.3;-2.3
2014-10-12;Ibope;43.0;42.0;1.0
2014-10-14;Ibope;43.0;42.1;0.9
2014-10-15;Datafolha;40.0;41.4;-1.4
2014-10-19;Vox Populi;43.0;37.5;5.5
2014-10-20;Datafolha;42.0;41.3;0.7
2014-10-23;Datafolha;44.0;41.3;2.7
2014-10-23;Ibope;45.0;42.2;2.8
2014-10-25;Datafolha;44.0;41.4;2.6
2014-12-03;Datafolha;42.0;40.0;2.0
2014-12-08;Ibope;40.0;40.9;-0.9
2015-01-15;Ipsos;29.0;21.1;7.9
2015-01-15;Projeção;25.0;34.2;-9.2
2015-02-05;Datafolha;23.0;18.7;4.3
2015-02-15;Ipsos;18.0;12.9;5.1
2015-03-15;Datafolha;13.0;14.6;-1.6
2015-03-15;Ipsos;14.0;10.0;4.0
2015-03-19;MDA;10.8;14.3;-3.5
2015-03-25;Ibope;12.0;15.0;-3.0
2015-04-10;Datafolha;13.0;13.9;-0.9
2015-04-15;Ipsos;10.0;9.4;0.6
2015-05-15;Ipsos;9.0;7.7;1.3
2015-06-15;Ipsos;7.0;7.0;0.0
2015-06-18;Datafolha;10.0;10.6;-0.6
2015-06-21;Ibope;9.0;10.8;-1.8
2015-07-15;Ipsos;6.0;6.1;-0.1
2015-07-16;MDA;7.7;8.9;-1.2
2015-08-06;Datafolha;8.0;8.5;-0.5
2015-08-15;Ipsos;5.0;5.7;-0.7
2015-09-08;Ibope;14.0;11.2;2.8
2015-09-15;Ipsos;4.0;5.5;-1.5
2015-09-21;Ibope;10.0;9.0;1.0
2015-10-15;Ipsos;4.0;5.8;-1.8
2015-10-24;MDA;8.8;8.4;0.4
2015-11-15;Ipsos;4.0;5.7;-1.7
2015-11-26;Datafolha;10.0;9.1;0.9
2015-12-15;Ipsos;5.0;6.1;-1.1
2015-12-17;Datafolha;12.0;10.3;1.7
2016-01-15;Ipsos;5.0;6.2;-1.2
