data_fim;empresa;observado;previsto;diff
1995-02-07;Sensus;57.0;52.1;4.9
1995-02-07;Vox Populi;57.0;47.3;9.7
1995-03-13;Sensus;43.0;44.6;-1.6
1995-03-13;Vox Populi;43.0;39.9;3.1
1995-03-15;Datafolha;39.0;44.0;-5.0
1995-03-16;Ibope;41.0;44.5;-3.5
1995-04-07;Vox Populi;39.0;39.3;-0.3
1995-05-16;Ibope;39.0;41.7;-2.7
1995-05-23;Vox Populi;37.0;37.1;-0.1
1995-06-15;Datafolha;40.0;42.7;-2.7
1995-06-20;Vox Populi;41.0;38.4;2.6
1995-07-16;Ibope;42.0;43.9;-1.9
1995-07-24;Vox Populi;42.0;39.2;2.8
1995-08-29;Vox Populi;39.0;37.8;1.2
1995-09-15;Datafolha;42.0;41.3;0.7
1995-09-16;Ibope;40.0;41.7;-1.7
1995-11-16;Ibope;43.0;41.6;1.4
1995-12-15;Datafolha;41.0;40.0;1.0
1996-02-16;Ibope;41.0;38.1;2.9
1996-05-14;Vox Populi;26.0;32.0;-6.0
1996-06-15;Datafolha;30.0;35.2;-5.2
1996-08-16;Ibope;38.0;40.4;-2.4
1996-09-15;Datafolha;43.0;42.8;0.2
1996-12-15;Datafolha;47.0;44.2;2.8
1996-12-16;Ibope;46.0;44.6;1.4
1997-03-05;Vox Populi;42.0;39.3;2.7
1997-03-16;Ibope;51.0;43.9;7.1
1997-05-15;Datafolha;42.0;39.7;2.3
1997-05-16;Ibope;34.0;40.2;-6.2
1997-06-15;Datafolha;39.0;40.5;-1.5
1997-08-16;Ibope;38.0;40.3;-2.3
1997-09-09;Vox Populi;36.0;37.1;-1.1
1997-09-15;Datafolha;43.0;41.3;1.7
1997-10-16;Ibope;43.0;41.7;1.3
1997-12-09;Vox Populi;38.0;35.7;2.3
1997-12-15;Datafolha;37.0;39.9;-2.9
1998-01-16;Ibope;42.0;39.4;2.6
1998-01-29;Vox Populi;33.0;34.7;-1.7
1998-03-15;Datafolha;38.0;37.5;0.5
1998-03-16;Ibope;39.0;38.1;0.9
1998-04-06;Vox Populi;31.0;32.0;-1.0
1998-04-15;Datafolha;35.0;35.9;-0.9
1998-05-15;Datafolha;31.0;33.5;-2.5
1998-05-16;Ibope;33.0;33.8;-0.8
1998-05-16;Vox Populi;29.0;29.7;-0.7
1998-06-15;Datafolha;31.0;35.5;-4.5
1998-06-16;Vox Populi;31.0;31.5;-0.5
1998-07-15;Datafolha;38.0;38.7;-0.7
1998-07-16;Ibope;41.0;39.2;1.8
1998-07-21;Vox Populi;36.0;34.7;1.3
1998-08-11;Vox Populi;40.0;36.5;3.5
1998-08-15;Datafolha;40.0;40.6;-0.6
1998-09-15;Datafolha;43.0;42.8;0.2
1998-09-16;Vox Populi;45.0;38.6;6.4
1998-12-15;Datafolha;35.0;38.4;-3.4
1998-12-20;Vox Populi;32.0;34.4;-2.4
1999-01-23;Vox Populi;27.0;31.3;-4.3
1999-02-15;Datafolha;21.0;27.5;-6.5
1999-03-01;Vox Populi;19.0;19.0;0.0
1999-03-16;Ibope;22.0;22.1;-0.1
1999-03-29;Vox Populi;16.0;19.0;-3.0
1999-04-24;Vox Populi;17.0;17.7;-0.7
1999-05-16;Ibope;18.0;18.1;-0.1
1999-05-23;Vox Populi;15.0;15.4;-0.4
1999-06-15;Datafolha;16.0;17.2;-1.2
1999-07-05;Vox Populi;12.0;13.9;-1.9
1999-07-16;Ibope;16.0;16.5;-0.5
1999-08-10;Vox Populi;12.0;12.6;-0.6
