date,stratum,president,rating,projected,hdi_95_lower,hdi_80_lower,hdi_50_lower,hdi_50_higher,hdi_80_higher,hdi_95_higher,updated
2023-03-10,BR,Lula da Silva,regular,19.8,14.52,16.36,18.0,21.63,23.23,25.0,2023-03-10
2023-03-10,BR,Lula da Silva,positiva,43.7,38.33,40.18,41.79,45.37,46.94,48.67,2023-03-10
2023-03-10,BR,Lula da Silva,nsnr,8.2,3.01,4.82,6.39,9.92,11.57,13.36,2023-03-10
2023-03-10,BR,Lula da Silva,negativa,28.3,23.26,24.89,26.49,30.09,31.64,33.49,2023-03-10
2023-03-11,BR,Lula da Silva,regular,19.8,14.66,16.46,18.02,21.59,23.14,24.91,2023-03-10
2023-03-11,BR,Lula da Silva,positiva,43.7,38.44,40.16,41.81,45.37,46.91,48.62,2023-03-10
2023-03-11,BR,Lula da Silva,nsnr,8.2,3.21,4.86,6.41,9.89,11.43,13.26,2023-03-10
2023-03-11,BR,Lula da Silva,negativa,28.3,23.31,24.94,26.51,30.05,31.57,33.35,2023-03-10
2023-03-12,BR,Lula da Silva,regular,19.8,14.77,16.52,18.06,21.57,23.13,24.87,2023-03-10
2023-03-12,BR,Lula da Silva,positiva,43.7,38.54,40.28,41.85,45.32,46.79,48.54,2023-03-10
2023-03-12,BR,Lula da Silva,nsnr,8.2,3.18,4.93,6.42,9.86,11.4,13.14,2023-03-10
2023-03-12,BR,Lula da Silva,negativa,28.3,23.4,25.0,26.52,30.01,31.51,33.3,2023-03-10
2023-03-13,BR,Lula da Silva,regular,19.8,14.9,16.55,18.09,21.55,23.07,24.81,2023-03-10
2023-03-13,BR,Lula da Silva,positiva,43.7,38.68,40.37,41.89,45.31,46.73,48.45,2023-03-10
2023-03-13,BR,Lula da Silva,nsnr,8.2,3.35,4.99,6.44,9.83,11.33,13.08,2023-03-10
2023-03-13,BR,Lula da Silva,negativa,28.3,23.52,25.07,26.59,29.97,31.47,33.23,2023-03-10
2023-03-09,BR,Lula da Silva,regular,19.8,14.52,16.36,18.0,21.63,23.23,25.0,2023-03-10
2023-03-09,BR,Lula da Silva,positiva,43.7,38.33,40.18,41.79,45.37,46.94,48.67,2023-03-10
2023-03-09,BR,Lula da Silva,nsnr,8.2,3.01,4.82,6.39,9.92,11.57,13.36,2023-03-10
2023-03-09,BR,Lula da Silva,negativa,28.3,23.26,24.89,26.49,30.09,31.64,33.49,2023-03-10
2023-03-08,BR,Lula da Silva,regular,19.8,14.66,16.46,18.02,21.59,23.14,24.91,2023-03-10
2023-03-08,BR,Lula da Silva,positiva,43.7,38.44,40.16,41.81,45.37,46.91,48.62,2023-03-10
2023-03-08,BR,Lula da Silva,nsnr,8.2,3.21,4.86,6.41,9.89,11.43,13.26,2023-03-10
2023-03-08,BR,Lula da Silva,negativa,28.3,23.31,24.94,26.51,30.05,31.57,33.35,2023-03-10
2023-03-07,BR,Lula da Silva,regular,19.8,14.77,16.52,18.06,21.57,23.13,24.87,2023-03-10
2023-03-07,BR,Lula da Silva,positiva,43.7,38.54,40.28,41.85,45.32,46.79,48.54,2023-03-10
2023-03-07,BR,Lula da Silva,nsnr,8.2,3.18,4.93,6.42,9.86,11.4,13.14,2023-03-10
2023-03-07,BR,Lula da Silva,negativa,28.3,23.4,25.0,26.52,30.01,31.51,33.3,2023-03-10
2023-03-06,BR,Lula da Silva,regular,19.8,14.9,16.55,18.09,21.55,23.07,24.81,2023-03-10
2023-03-06,BR,Lula da Silva,positiva,43.7,38.68,40.37,41.89,45.31,46.73,48.45,2023-03-10
2023-03-06,BR,Lula da Silva,nsnr,8.2,3.35,4.99,6.44,9.83,11.33,13.08,2023-03-10
2023-03-06,BR,Lula da Silva,negativa,28.3,23.52,25.07,26.59,29.97,31.47,33.23,2023-03-10
2023-03-05,BR,Lula da Silva,regular,19.9,14.98,16.63,18.16,21.51,23.02,24.72,2023-03-10
2023-03-05,BR,Lula da Silva,positiva,43.7,38.72,40.42,41.97,45.24,46.68,48.36,2023-03-10
2023-03-05,BR,Lula da Silva,nsnr,8.2,3.41,5.03,6.5,9.77,11.22,12.98,2023-03-10
2023-03-05,BR,Lula da Silva,negativa,28.3,23.64,25.15,26.59,29.94,31.44,33.07,2023-03-10
2023-03-04,BR,Lula da Silva,regular,19.8,15.07,16.68,18.2,21.44,22.91,24.63,2023-03-10
2023-03-04,BR,Lula da Silva,positiva,43.7,38.87,40.49,41.99,45.22,46.61,48.29,2023-03-10
2023-03-04,BR,Lula da Silva,nsnr,8.2,3.61,5.12,6.52,9.74,11.2,12.84,2023-03-10
2023-03-04,BR,Lula da Silva,negativa,28.3,23.74,25.17,26.62,29.89,31.32,32.92,2023-03-10
2023-03-03,BR,Lula da Silva,regular,19.8,15.2,16.74,18.2,21.42,22.84,24.58,2023-03-10
2023-03-03,BR,Lula da Silva,positiva,43.7,39.0,40.55,42.01,45.17,46.52,48.16,2023-03-10
2023-03-03,BR,Lula da Silva,nsnr,8.2,3.67,5.2,6.54,9.71,11.1,12.76,2023-03-10
2023-03-03,BR,Lula da Silva,negativa,28.3,23.82,25.28,26.64,29.82,31.27,32.82,2023-03-10
2023-03-02,BR,Lula da Silva,regular,19.9,15.28,16.8,18.2,21.4,22.79,24.42,2023-03-10
2023-03-02,BR,Lula da Silva,positiva,43.7,39.03,40.63,42.08,45.14,46.44,48.1,2023-03-10
2023-03-02,BR,Lula da Silva,nsnr,8.1,3.77,5.24,6.58,9.67,11.03,12.6,2023-03-10
2023-03-02,BR,Lula da Silva,negativa,28.3,23.86,25.32,26.67,29.8,31.19,32.75,2023-03-10
2023-03-01,BR,Lula da Silva,regular,19.9,15.43,16.86,18.28,21.38,22.72,24.28,2023-03-10
2023-03-01,BR,Lula da Silva,positiva,43.7,39.15,40.69,42.12,45.09,46.39,47.95,2023-03-10
2023-03-01,BR,Lula da Silva,nsnr,8.1,3.87,5.31,6.62,9.6,10.96,12.49,2023-03-10
2023-03-01,BR,Lula da Silva,negativa,28.3,23.95,25.38,26.73,29.76,31.13,32.74,2023-03-10
2023-02-28,BR,Lula da Silva,regular,19.9,15.58,16.98,18.28,21.33,22.66,24.16,2023-03-10
2023-02-28,BR,Lula da Silva,positiva,43.7,39.24,40.74,42.18,45.05,46.33,47.82,2023-03-10
2023-02-28,BR,Lula da Silva,nsnr,8.1,3.97,5.34,6.68,9.58,10.89,12.36,2023-03-10
2023-02-28,BR,Lula da Silva,negativa,28.3,24.07,25.46,26.76,29.73,31.03,32.56,2023-03-10
2023-02-27,BR,Lula da Silva,regular,19.9,15.67,17.06,18.35,21.27,22.6,24.06,2023-03-10
2023-02-27,BR,Lula da Silva,positiva,43.7,39.31,40.81,42.19,45.03,46.26,47.7,2023-03-10
2023-02-27,BR,Lula da Silva,nsnr,8.1,4.07,5.41,6.7,9.52,10.82,12.25,2023-03-10
2023-02-27,BR,Lula da Silva,negativa,28.3,24.18,25.53,26.79,29.69,30.99,32.48,2023-03-10
2023-02-26,BR,Lula da Silva,regular,19.9,15.81,17.14,18.39,21.22,22.51,23.95,2023-03-10
2023-02-26,BR,Lula da Silva,positiva,43.7,39.43,40.88,42.19,44.98,46.21,47.54,2023-03-10
2023-02-26,BR,Lula da Silva,nsnr,8.1,4.22,5.47,6.71,9.46,10.74,12.15,2023-03-10
2023-02-26,BR,Lula da Silva,negativa,28.3,24.29,25.62,26.82,29.67,30.91,32.39,2023-03-10
